sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:35.851Z,true,4,5,72,56,1830.5390000001062,response,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,151146.7550000002,151141.97000000012,149294.765,149294.9350000001,149311.431,151161.357
,flow.Sequence,1_0,2021-06-03T01:53:35.853Z,,,5,,,4097.115000000107,completion,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,151148.19000000012,151141.97000000012,147011.523,147026.37500000015,147044.855,151161.357
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:38.164Z,true,2,15,-16,47,1060.454000000027,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,153459.5800000002,153455.09500000003,152377.975,152391.32000000018,152394.641,153470.153
,flow.Sequence,1_1,2021-06-03T01:53:38.165Z,,,15,,,2293.738000000041,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,153460.58500000005,153455.09500000003,151144.691,151148.43500000006,151161.357,153470.153
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:41.035Z,true,4,15,47,16,856.0720000002184,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,156330.55500000023,156326.14500000022,155453.407,155464.5750000002,155470.073,156336.705
,flow.Sequence,1_2,2021-06-03T01:53:41.036Z,,,15,,,2855.992000000231,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,156331.30500000017,156326.14500000022,153453.487,153460.84500000006,153470.153,156336.705
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:44.186Z,true,6,15,-39,-100,2025.8430000000808,response,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,159481.63000000024,159479.17000000007,157436.661,157445.71500000005,157453.327,159486.579
,flow.Sequence,1_3,2021-06-03T01:53:44.186Z,,,15,,,3142.465000000084,completion,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,159482.0400000001,159479.17000000007,156320.039,156331.50500000012,156336.705,159486.579
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:46.905Z,false,2,5,60,-48,1610.3050000000512,response,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,1,click @1,3,162201.1100000002,162196.84000000005,160569.869,160575.05000000013,160586.535,162203.137
,flow.Sequence,1_4,2021-06-03T01:53:46.906Z,,,5,,,2710.261000000057,completion,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,162202.0050000001,162196.84000000005,159469.913,159482.21500000023,159486.579,162203.137
