sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:39.210Z,true,2,15,48,76,1735,response,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,163274,163270,161535,161519,161550,163306
,flow.Sequence,1_0,2021-06-03T01:53:39.211Z,,,15,,,5319,completion,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,163274,163270,157924,157914.00000000003,157951,163306
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:42.224Z,true,5,15,76,96,1292,response,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,166288,166285,164993,164978,165009,166330
,flow.Sequence,1_1,2021-06-03T01:53:42.225Z,,,15,,,2979,completion,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,166288,166285,163288,163275,163306,166330
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:44.788Z,true,6,5,-31,-51,1632,response,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,168852,168849,167217,167201,167233,168887
,flow.Sequence,1_2,2021-06-03T01:53:44.789Z,,,5,,,2519,completion,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,168852,168849,166314,166288,166330,168887
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:47.271Z,true,2,15,73,-43,941,response,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,2,click @2,3,171335,171332,170391,170365,170408,171377
,flow.Sequence,1_3,2021-06-03T01:53:47.271Z,,,15,,,2445,completion,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,,,3,171335,171332,168870,168852,168887,171377
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:49.449Z,true,3,5,71,92,1146,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,173513,173510,172364,172351,172380,173550
,flow.Sequence,1_4,2021-06-03T01:53:49.449Z,,,5,,,2133,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,173513,173510,171360,171335,171377,173550
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:51.311Z,true,2,15,69,-79,1104,response,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,175375,175372,174268,174254,174285,175404
,flow.Sequence,1_5,2021-06-03T01:53:51.312Z,,,15,,,1822,completion,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,175375,175372,173533,173513,173550,175404
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:53.843Z,true,2,5,64,-72,896,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,177907,177904,177008,176984,177026,177945
,flow.Sequence,1_6,2021-06-03T01:53:53.843Z,,,5,,,2500,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,177907,177904,175387,175375,175404,177945
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:53:55.886Z,true,1,5,-44,-67,1233,response,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,179950.00000000003,179947,178714,178691,178729,179983
,flow.Sequence,1_7,2021-06-03T01:53:55.886Z,,,5,,,2002,completion,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,179950.00000000003,179947,177928,177907,177945,179983
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:53:59.071Z,true,3,5,-40,-17,1326,response,0,number-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,183134,183131,181805,181787,181822,183176
,flow.Sequence,1_8,2021-06-03T01:53:59.071Z,,,5,,,3148,completion,0,number-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,183134,183131,179966,179950.00000000003,179983,183176
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:54:01.810Z,true,3,15,43,-71,991,response,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,3,click @3,3,185873,185871,184880,184864,184897,185916
,flow.Sequence,1_9,2021-06-03T01:54:01.810Z,,,15,,,2695,completion,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,,,3,185874,185871,183159,183135,183176,185916
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:54:03.617Z,true,4,5,16,-63,1027,response,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,187680,187678,186651,186638,186668,187721
,flow.Sequence,1_10,2021-06-03T01:54:03.617Z,,,5,,,1762,completion,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,187681,187678,185899,185874,185916,187721
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:54:05.635Z,true,4,15,13,92,1274,response,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,189698,189696,188422,188401,188439,189727
,flow.Sequence,1_11,2021-06-03T01:54:05.635Z,,,15,,,1975,completion,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,189699,189696,187704,187681,187721,189727
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:54:08.604Z,true,7,5,-36,-5,2288,response,0,number-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,192667,192665,190377,190364,190394,192701
,flow.Sequence,1_12,2021-06-03T01:54:08.604Z,,,5,,,2938,completion,0,number-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,192668,192665,189710,189699,189727,192701
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:54:10.896Z,true,6,15,-69,-100,1070,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,194959,194957,193887,193860,193904,194991
,flow.Sequence,1_13,2021-06-03T01:54:10.896Z,,,15,,,2256,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,194959,194957,192684,192668,192701,194991
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:54:12.779Z,true,3,5,-33,19,1046,response,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,196842,196839,195793,195777.00000000003,195810,196879
,flow.Sequence,1_14,2021-06-03T01:54:12.779Z,,,5,,,1848,completion,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,196842,196839,194973,194959,194991,196879
Stimulus + Response,canvas.Screen,1_15_1,2021-06-03T01:54:14.736Z,true,7,5,-90,-67,1066,response,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,198800,198797,197731,197707,197748,198834
,flow.Sequence,1_15,2021-06-03T01:54:14.737Z,,,5,,,1918,completion,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,198800,198797,196861,196843.00000000003,196879,198834
Stimulus + Response,canvas.Screen,1_16_1,2021-06-03T01:54:16.852Z,true,2,15,10,-44,793,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,200916,200913,200120,200098,200138,200957
,flow.Sequence,1_16,2021-06-03T01:54:16.853Z,,,15,,,2079,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,200916,200913,198818,198800,198834,200957
Stimulus + Response,canvas.Screen,1_17_1,2021-06-03T01:54:18.463Z,true,4,15,28,71,833,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,202526,202524,201691,201669,201708,202561
,flow.Sequence,1_17,2021-06-03T01:54:18.463Z,,,15,,,1567,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,202526,202524,200939,200917,200957,202561
Stimulus + Response,canvas.Screen,1_18_1,2021-06-03T01:54:20.370Z,false,1,5,-25,-80,1001,response,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,3,click @3,5,204433,204430,203429,203407,203446,204466
,flow.Sequence,1_18,2021-06-03T01:54:20.370Z,,,5,,,1869,completion,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,204434,204430,202544,202527.00000000003,202561,204466
Stimulus + Response,canvas.Screen,1_19_1,2021-06-03T01:54:22.645Z,true,5,5,-78,62,1204.000000000029,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,206708,206706.00000000003,205502,205483,205519,206738
,flow.Sequence,1_19,2021-06-03T01:54:22.645Z,,,5,,,2240.000000000029,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,206709,206706.00000000003,204449,204434,204466,206738
Stimulus + Response,canvas.Screen,1_20_1,2021-06-03T01:54:25.109Z,true,1,15,-11,-48,1494,response,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,209172,209169,207675,207653,207690,209211
,flow.Sequence,1_20,2021-06-03T01:54:25.109Z,,,15,,,2431,completion,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,209172,209169,206721,206709,206738,209211
Stimulus + Response,canvas.Screen,1_21_1,2021-06-03T01:54:27.568Z,true,3,15,-29,-51,878,response,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,211631,211628,210750,210733,210766,211668
,flow.Sequence,1_21,2021-06-03T01:54:27.568Z,,,15,,,2417,completion,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,211631,211628,209195,209173,209211,211668
Stimulus + Response,canvas.Screen,1_22_1,2021-06-03T01:54:29.707Z,true,3,5,46,2,863,response,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,213770,213768,212905,212881,212921,213808
,flow.Sequence,1_22,2021-06-03T01:54:29.707Z,,,5,,,2100,completion,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,213771.00000000003,213768,211652,211631,211668,213808
Stimulus + Response,canvas.Screen,1_23_1,2021-06-03T01:54:32.094Z,true,3,5,-45,-100,1546,response,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,216158.00000000003,216155,214609,214588,214626,216197
,flow.Sequence,1_23,2021-06-03T01:54:32.095Z,,,5,,,2347,completion,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,216158.00000000003,216155,213791,213771.00000000003,213808,216197
Stimulus + Response,canvas.Screen,1_24_1,2021-06-03T01:54:34.449Z,true,3,15,-6,-57,842,response,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,218513,218510,217668,217647,217684,218553
,flow.Sequence,1_24,2021-06-03T01:54:34.450Z,,,15,,,2313,completion,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,218513,218510,216180,216158.00000000003,216197,218553
Stimulus + Response,canvas.Screen,1_25_1,2021-06-03T01:54:37.677Z,true,4,5,91,-57,1614,response,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,221741,221738,220124,220099.00000000003,220141,221778
,flow.Sequence,1_25,2021-06-03T01:54:37.677Z,,,5,,,3185,completion,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,221741,221738,218537,218513,218553,221778
Stimulus + Response,canvas.Screen,1_26_1,2021-06-03T01:54:40.250Z,true,6,15,-88,95,1261,response,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,224314,224310,223049,223023,223065,224352
,flow.Sequence,1_26,2021-06-03T01:54:40.251Z,,,15,,,2532,completion,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,224314,224310,221762,221741,221778,224352
Stimulus + Response,canvas.Screen,1_27_1,2021-06-03T01:54:42.812Z,true,3,15,-45,62,1317.000000000029,response,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,226875,226873.00000000003,225556,225530,225572,226908
,flow.Sequence,1_27,2021-06-03T01:54:42.812Z,,,15,,,2521.000000000029,completion,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,226875,226873.00000000003,224336,224314,224352,226908
Stimulus + Response,canvas.Screen,1_28_1,2021-06-03T01:54:45.656Z,false,1,15,-63,18,1705,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,2,click @2,5,229719,229717,228012,227996,228028,229749
,flow.Sequence,1_28,2021-06-03T01:54:45.656Z,,,15,,,2809,completion,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,229720,229717,226893,226875,226908,229749
Stimulus + Response,canvas.Screen,1_29_1,2021-06-03T01:54:47.603Z,true,2,15,-67,-22,1061,response,0,number-3-ld-3.png,21,43,32,0,0,0,0,43,2,2,click @2,3,231666,231663,230602,230592,230619,231705
,flow.Sequence,1_29,2021-06-03T01:54:47.603Z,,,15,,,1914,completion,0,number-3-ld-3.png,21,43,32,0,0,0,0,43,2,,,3,231666,231663,229733,229720,229749,231705
Stimulus + Response,canvas.Screen,1_30_1,2021-06-03T01:54:49.172Z,true,1,15,50,97,793,response,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,233236.00000000003,233233,232440,232426.00000000003,232456,233276
,flow.Sequence,1_30,2021-06-03T01:54:49.173Z,,,15,,,1528,completion,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,233236.00000000003,233233,231688,231666,231705,233276
Stimulus + Response,canvas.Screen,1_31_1,2021-06-03T01:54:55.501Z,false,1,15,-9,-67,1122,response,0,number-7-ld-3.png,90,68,62,83,77,73,56,90,1,4,click @4,7,239564,239562,238440,238426.00000000003,238456,239593
,flow.Sequence,1_31,2021-06-03T01:54:55.501Z,,,15,,,6286,completion,0,number-7-ld-3.png,90,68,62,83,77,73,56,90,1,,,7,239564,239562,233259,233236.00000000003,233276,239593
Stimulus + Response,canvas.Screen,1_32_1,2021-06-03T01:54:58.598Z,true,5,5,74,-57,1745.000000000029,response,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,242662,242658.00000000003,240913,240897,240930,242700
,flow.Sequence,1_32,2021-06-03T01:54:58.598Z,,,5,,,3065.000000000029,completion,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,242662,242658.00000000003,239577,239564,239593,242700
