sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:35.088Z,true,1,5,-16,-77,1489.0129999985074,response,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,1,click @1,5,127671.69999999553,127668.89999999851,126163.221,126164.60000000149,126179.887,127679.827
,flow.Sequence,1_0,2021-06-03T01:53:35.091Z,,,5,,,3038.9509999985166,completion,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,127674.39999999851,127668.89999999851,124613.283,124618.19999999553,124629.949,127679.827
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:37.524Z,true,2,5,80,40,1258.7529999955295,response,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,130107.29999999702,130105.19999999553,128829.781,128832.69999999553,128846.447,130113.063
,flow.Sequence,1_1,2021-06-03T01:53:37.524Z,,,5,,,2425.372999995525,completion,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,130107.60000000149,130105.19999999553,127663.161,127675,127679.827,130113.063
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:39.953Z,true,3,5,-90,16,1707.7760000014969,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,132536.3999999985,132534.1000000015,130809.658,130812.69999999553,130826.324,132542.922
,flow.Sequence,1_2,2021-06-03T01:53:39.953Z,,,5,,,2421.0370000014955,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,132536.69999999553,132534.1000000015,130096.397,130107.60000000149,130113.063,132542.922
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:42.542Z,true,2,5,-66,-43,1680.1140000000014,response,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,135125.29999999702,135123,133426.22,133434.19999999553,133442.886,135126.152
,flow.Sequence,1_3,2021-06-03T01:53:42.543Z,,,5,,,2580.0780000000086,completion,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,135125.69999999553,135123,132526.256,132536.79999999702,132542.922,135126.152
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:44.675Z,true,1,15,25,-8,1196.1520000014862,response,1,graph-7-ld-3.png,90,68,62,83,77,73,56,90,1,1,click @1,7,137257.8999999985,137255.6000000015,136042.782,136055.19999999553,136059.448,137259.4
,flow.Sequence,1_4,2021-06-03T01:53:44.675Z,,,15,,,2129.4480000014883,completion,1,graph-7-ld-3.png,90,68,62,83,77,73,56,90,1,,,7,137258.19999999553,137255.6000000015,135109.486,135125.79999999702,135126.152,137259.4
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:46.839Z,true,3,5,79,66,1376.7980000000098,response,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,139421.79999999702,139419.5,138026.036,138027.1000000015,138042.702,139425.98
,flow.Sequence,1_5,2021-06-03T01:53:46.839Z,,,5,,,2160.100000000006,completion,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,139422.29999999702,139419.5,137242.734,137258.5,137259.4,139425.98
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:48.562Z,true,3,5,54,5,967.0499999999884,response,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,141145.19999999553,141143,140159.284,140174.19999999553,140175.95,141162.959
,flow.Sequence,1_6,2021-06-03T01:53:48.563Z,,,5,,,1717.0199999999895,completion,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,141145.6000000015,141143,139409.314,139422.3999999985,139425.98,141162.959
