sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:48.691Z,true,7,5,38,29,1203.5819999999949,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,125889.35500000003,125886.26,124666.009,124669.28999999994,124682.678,125916.184
,flow.Sequence,1_0,2021-06-03T01:53:48.692Z,,,5,,,3187.1929999999993,completion,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,125890.18499999997,125886.26,122682.398,122681.59000000003,122699.067,125916.184
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:50.421Z,true,4,15,-67,96,583.2530000000115,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,127619.59000000001,127616.26000000001,127016.338,127016.50499999993,127033.007,127633.091
,flow.Sequence,1_1,2021-06-03T01:53:50.422Z,,,15,,,1700.0760000000155,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,127620.08000000003,127616.26000000001,125899.515,125890.33999999992,125916.184,127633.091
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:52.100Z,true,2,5,-17,18,1162.9739999999438,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,129298.83999999992,129296.13499999994,128116.492,128130.855,128133.161,129316.66
,flow.Sequence,1_2,2021-06-03T01:53:52.101Z,,,5,,,1663.0439999999362,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,129299.25500000002,129296.13499999994,127616.422,127620.29999999993,127633.091,129316.66
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:54.019Z,false,2,15,-26,-11,1447.5419999999576,response,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,5,click @5,5,131217.18499999997,131214.26499999996,129750.054,129756.76499999997,129766.723,131233.595
,flow.Sequence,1_3,2021-06-03T01:53:54.019Z,,,15,,,1897.6049999999523,completion,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,131217.63999999996,131214.26499999996,129299.991,129299.44,129316.66,131233.595
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:56.303Z,true,5,5,-12,24,1597.9700000000012,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,133501.35499999998,133498.325,131883.686,131871.08000000002,131900.355,133517.489
,flow.Sequence,1_4,2021-06-03T01:53:56.303Z,,,5,,,2264.7300000000105,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,133501.8,133498.325,131216.926,131217.83500000005,131233.595,133517.489
