sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:46.262Z,true,2,15,56,-58,1850,response,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,122167,122164,120314,120290,120330,122197
,flow.Sequence,1_0,2021-06-03T01:53:46.262Z,,,15,,,4908,completion,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,122167,122164,117243,117195.00000000001,117256,122197
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:49.824Z,true,6,15,-15,80,1279,response,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,125728.00000000001,125726,124447,124427,124464,125767
,flow.Sequence,1_1,2021-06-03T01:53:49.824Z,,,15,,,3529,completion,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,125729,125726,122181,122167,122197,125767
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:54.671Z,true,3,5,83,12,2473.0000000000146,response,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,130574.99999999999,130573.00000000001,128100,128076,128116,130612
,flow.Sequence,1_2,2021-06-03T01:53:54.671Z,,,5,,,4806.000000000015,completion,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,130576,130573.00000000001,125750,125729,125767,130612
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:57.784Z,true,3,15,45,69,1724,response,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,133689,133686,131962,131937,131979,133729
,flow.Sequence,1_3,2021-06-03T01:53:57.784Z,,,15,,,3074,completion,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,133689,133686,130595,130576,130612,133729
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:01.102Z,true,1,15,-36,33,1757,response,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,137007,137004,135247,135232,135264,137047
,flow.Sequence,1_4,2021-06-03T01:54:01.103Z,,,15,,,3275,completion,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,137007,137004,133712,133689,133729,137047
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:06.335Z,true,4,15,-55,77,3007,response,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,142239,142237,139230,139204,139247,142267
,flow.Sequence,1_5,2021-06-03T01:54:06.335Z,,,15,,,5190,completion,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,142239,142237,137029,137007,137047,142267
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:54:09.345Z,true,2,5,67,32,1530,response,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,145250,145247,143717,143704,143734,145291
,flow.Sequence,1_6,2021-06-03T01:54:09.345Z,,,5,,,2980,completion,0,number-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,145250,145247,142251,142239,142267,145291
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:12.096Z,true,7,5,89,-22,1524,response,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,148001,147998,146474,146454,146491,148041
,flow.Sequence,1_7,2021-06-03T01:54:12.096Z,,,5,,,2707,completion,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,148001,147998,145275,145250,145291,148041
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:54:15.327Z,true,7,5,81,-44,2172,response,0,number-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,151232,151229,149057,149032,149075,151262
,flow.Sequence,1_8,2021-06-03T01:54:15.328Z,,,5,,,3188,completion,0,number-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,151232,151229,148024,148001,148041,151262
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:54:18.582Z,true,1,15,80,-92,2256,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,154487,154484,152228,152216,152244,154527
,flow.Sequence,1_9,2021-06-03T01:54:18.582Z,,,15,,,3222,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,154487,154484,151244,151232,151262,154527
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:54:21.104Z,true,3,5,67,49,1041,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,157009,157006,155965,155952,155982,157048
,flow.Sequence,1_10,2021-06-03T01:54:21.105Z,,,5,,,2479,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,157009,157006,154511,154487,154527,157048
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:54:23.453Z,true,3,5,36,-8,1206,response,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,159357,159354,158148,158135,158165,159398
,flow.Sequence,1_11,2021-06-03T01:54:23.453Z,,,5,,,2306,completion,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,159358,159354,157032,157009,157048,159398
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:54:25.762Z,true,1,5,-44,-31,1496,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,161667,161663,160167,160144,160184,161700
,flow.Sequence,1_12,2021-06-03T01:54:25.762Z,,,5,,,2265,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,161667,161663,159382,159358,159398,161700
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:54:27.708Z,true,2,5,83,5,926,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,163613,163610,162684,162673,162702,163650
,flow.Sequence,1_13,2021-06-03T01:54:27.709Z,,,5,,,1910,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,163613,163610,161684,161667,161700,163650
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:54:29.292Z,true,2,5,0,-22,943.0000000000291,response,1,graph-3-sd-2.png,54,57,51,0,0,0,0,57,2,2,click @2,3,165197,165194.00000000003,164251,164234,164267,165232
,flow.Sequence,1_14,2021-06-03T01:54:29.293Z,,,5,,,1544.000000000029,completion,1,graph-3-sd-2.png,54,57,51,0,0,0,0,57,2,,,3,165197,165194.00000000003,163635,163613,163650,165232
Stimulus + Response,canvas.Screen,1_15_1,2021-06-03T01:54:32.595Z,true,6,15,44,35,2297,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,168499,168497,166200,166173,166215,168532
,flow.Sequence,1_15,2021-06-03T01:54:32.595Z,,,15,,,3265,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,168500,168497,165216,165197,165232,168532
Stimulus + Response,canvas.Screen,1_16_1,2021-06-03T01:54:34.510Z,true,3,15,63,-17,1129,response,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,170414.00000000003,170411,169282,169270,169299,170453
