sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:34.377Z,true,3,15,2,-65,1593,response,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,3,click @3,3,117510,117498,115905,115885,115928,117539
,flow.Sequence,1_0,2021-06-03T01:53:34.378Z,,,15,,,3991,completion,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,,,3,117511,117498,113478,113467,113507,117539
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:36.753Z,true,2,5,91,28,902.0000000000146,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,119885,119874.00000000001,118972,118946,118989,119922
,flow.Sequence,1_1,2021-06-03T01:53:36.753Z,,,5,,,2335.0000000000146,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,119886,119874.00000000001,117522,117511,117539,119922
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:39.685Z,true,4,5,10,-90,1683,response,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,4,click @4,7,122818,122807,121124,121104,121140,122856
,flow.Sequence,1_2,2021-06-03T01:53:39.686Z,,,5,,,2885,completion,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,,,7,122818,122807,119905,119886,119922,122856
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:42.384Z,true,5,5,-44,92,999.0000000000146,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,125517,125505.00000000001,124506,124480,124522,125556
,flow.Sequence,1_3,2021-06-03T01:53:42.385Z,,,5,,,2649.0000000000146,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,125517,125505.00000000001,122840,122818,122856,125556
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:45.195Z,true,7,5,-31,30,1360,response,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,128328,128317,126957,126937,126974,128358
,flow.Sequence,1_4,2021-06-03T01:53:45.196Z,,,5,,,2761,completion,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,128328,128317,125540,125517,125556,128358
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:48.331Z,true,1,15,-100,-47,1644,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,131463,131452,129808,129797,129825,131493
,flow.Sequence,1_5,2021-06-03T01:53:48.331Z,,,15,,,3094,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,131464,131452,128341,128328,128358,131493
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:51.692Z,true,5,5,-70,-67,2137,response,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,134824,134812,132675,132665,132692,134859
,flow.Sequence,1_6,2021-06-03T01:53:51.692Z,,,5,,,3319,completion,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,134824,134812,131475,131464,131493,134859
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:53:53.970Z,true,3,15,-82,-42,1021,response,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,137103,137091,136070,136059,136086,137136
,flow.Sequence,1_7,2021-06-03T01:53:53.970Z,,,15,,,2232,completion,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,137103,137091,134843,134824,134859,137136
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:53:56.281Z,true,4,5,-9,72,815.0000000000291,response,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,139413,139402.00000000003,138587,138572,138604,139452
