sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:58:09.740Z,false,3,5,-35,11,1691,response,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,1,click @1,5,8698,8693,7002,6975.000000000001,7018,8738
,flow.Sequence,1_0,2021-06-03T01:58:09.740Z,,,5,,,3876,completion,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,8698,8693,4801,4788,4817,8738
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:58:11.200Z,true,1,15,-88,-22,747.0000000000018,response,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,10157,10152.000000000002,9405,9387,9420,10188
,flow.Sequence,1_1,2021-06-03T01:58:11.200Z,,,15,,,1414.0000000000018,completion,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,10158,10152.000000000002,8722,8698,8738,10188
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:58:12.876Z,true,6,15,27,14,841,response,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,11834,11828,10987,10967,11005,11871
,flow.Sequence,1_2,2021-06-03T01:58:12.876Z,,,15,,,1640,completion,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,11834,11828,10171,10158,10188,11871
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:58:14.880Z,true,5,5,-17,-92,1379,response,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,13838.000000000002,13833,12454,12442,12471,13875
,flow.Sequence,1_3,2021-06-03T01:58:14.880Z,,,5,,,1962,completion,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,13838.000000000002,13833,11854,11834,11871,13875
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:58:16.196Z,true,1,5,93,-13,706,response,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,15154,15148,14442,14423,14459,15191
,flow.Sequence,1_4,2021-06-03T01:58:16.196Z,,,5,,,1273,completion,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,15154,15148,13858,13838.000000000002,13875,15191
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:58:18.834Z,true,7,5,-73,-59,2061,response,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,17792,17786,15725,15699,15741,17825
,flow.Sequence,1_5,2021-06-03T01:58:18.834Z,,,5,,,2595,completion,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,17792,17786,15175,15154,15191,17825
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:58:20.181Z,true,3,15,24,86,658,response,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,3,click @3,3,19139,19133,18475,18457,18492,19176
,flow.Sequence,1_6,2021-06-03T01:58:20.181Z,,,15,,,1308,completion,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,,,3,19139,19133,17808,17792,17825,19176
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:58:22.017Z,true,6,15,-44,43,1343,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,20975,20970,19627,19603,19644,21010
,flow.Sequence,1_7,2021-06-03T01:58:22.017Z,,,15,,,1794,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,20975,20970,19160,19139,19176,21010
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:58:23.990Z,true,5,5,-71,1,1417,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,22948,22943,21526,21513,21544,22977
,flow.Sequence,1_8,2021-06-03T01:58:23.990Z,,,5,,,1933,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,22948,22943,20994,20975,21010,22977
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:58:26.372Z,true,4,5,-97,15,1796,response,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,4,click @4,7,25330.000000000004,25325,23529,23509,23546,25363
,flow.Sequence,1_9,2021-06-03T01:58:26.373Z,,,5,,,2348,completion,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,,,7,25330.000000000004,25325,22961,22948,22977,25363
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:58:27.599Z,true,3,15,-15,-63,605.0000000000036,response,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,26557.000000000004,26551.000000000004,25946,25923,25962,26596
,flow.Sequence,1_10,2021-06-03T01:58:27.600Z,,,15,,,1188.0000000000036,completion,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,26557.000000000004,26551.000000000004,25346,25330.000000000004,25363,26596
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:58:29.452Z,true,2,5,-86,-65,1209,response,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,28409,28404,27195,27182.000000000004,27212,28446
,flow.Sequence,1_11,2021-06-03T01:58:29.452Z,,,5,,,1808,completion,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,28409,28404,26579,26557.000000000004,26596,28446
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:58:30.727Z,true,3,5,-100,23,712.0000000000036,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,29684,29679.000000000004,28967,28954,28983,29717
,flow.Sequence,1_12,2021-06-03T01:58:30.727Z,,,5,,,1233.0000000000036,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,29684,29679.000000000004,28429,28409,28446,29717
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:58:33.389Z,true,1,5,-59,51,1942,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,32347,32342,30400,30390,30417,32383
,flow.Sequence,1_13,2021-06-03T01:58:33.390Z,,,5,,,2625,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,32347,32342,29700,29685.000000000004,29717,32383
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:58:34.616Z,true,2,5,61,-46,651,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,33574,33568,32917,32900,32933,33601
,flow.Sequence,1_14,2021-06-03T01:58:34.616Z,,,5,,,1185,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,33574,33568,32367,32347,32383,33601
Stimulus + Response,canvas.Screen,1_15_1,2021-06-03T01:58:36.124Z,true,1,15,51,-43,959,response,1,graph-7-ld-3.png,90,68,62,83,77,73,56,90,1,1,click @1,7,35082,35076,34117,34095,34135,35118
,flow.Sequence,1_15,2021-06-03T01:58:36.125Z,,,15,,,1475,completion,1,graph-7-ld-3.png,90,68,62,83,77,73,56,90,1,,,7,35082,35076,33585,33574,33601,35118
Stimulus + Response,canvas.Screen,1_16_1,2021-06-03T01:58:38.313Z,true,3,5,29,11,1513,response,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,37271,37265,35752,35731,35768,37301
,flow.Sequence,1_16,2021-06-03T01:58:38.313Z,,,5,,,2147,completion,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,37271,37265,35102,35082,35118,37301
Stimulus + Response,canvas.Screen,1_17_1,2021-06-03T01:58:39.596Z,true,1,15,47,33,696,response,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,38554,38548,37852,37840,37867,38587
,flow.Sequence,1_17,2021-06-03T01:58:39.597Z,,,15,,,1247,completion,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,38554,38548,37284,37271,37301,38587
Stimulus + Response,canvas.Screen,1_18_1,2021-06-03T01:58:40.936Z,true,7,5,56,-38,802,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,39893,39888,39086,39067,39103,39919
,flow.Sequence,1_18,2021-06-03T01:58:40.936Z,,,5,,,1301,completion,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,39893,39888,38570,38554,38587,39919
Stimulus + Response,canvas.Screen,1_19_1,2021-06-03T01:58:43.229Z,true,1,15,81,72,1644,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,42187,42181,40537,40526,40553,42220
,flow.Sequence,1_19,2021-06-03T01:58:43.230Z,,,15,,,2262,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,42187,42181,39904,39894,39919,42220
Stimulus + Response,canvas.Screen,1_20_1,2021-06-03T01:58:44.368Z,true,2,15,-93,-93,650,response,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,43325,43320,42670,42652,42687,43353
,flow.Sequence,1_20,2021-06-03T01:58:44.368Z,,,15,,,1100,completion,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,43326,43320,42204,42187,42220,43353
Stimulus + Response,canvas.Screen,1_21_1,2021-06-03T01:58:45.852Z,true,1,15,-93,-32,928,response,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,44809,44804,43876,43855.00000000001,43892,44841
,flow.Sequence,1_21,2021-06-03T01:58:45.852Z,,,15,,,1451,completion,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,44809,44804,43336,43326,43353,44841
Stimulus + Response,canvas.Screen,1_22_1,2021-06-03T01:58:47.127Z,true,3,5,-6,53,770,response,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,46084,46079,45309,45290,45326,46125
,flow.Sequence,1_22,2021-06-03T01:58:47.127Z,,,5,,,1238,completion,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,46085,46079,44825,44810,44841,46125
Stimulus + Response,canvas.Screen,1_23_1,2021-06-03T01:58:48.715Z,false,5,5,98,-56,1158,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,1,click @1,7,47673,47667,46509,46493,46525,47708
,flow.Sequence,1_23,2021-06-03T01:58:48.715Z,,,5,,,1542,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,47673,47667,46109,46085,46125,47708
Stimulus + Response,canvas.Screen,1_24_1,2021-06-03T01:58:50.135Z,true,3,15,67,-55,678,response,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,49092,49087,48409,48394,48426,49128
,flow.Sequence,1_24,2021-06-03T01:58:50.135Z,,,15,,,1379,completion,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,49092,49087,47692,47673,47708,49128
Stimulus + Response,canvas.Screen,1_25_1,2021-06-03T01:58:51.731Z,true,2,5,-21,-72,1004,response,1,graph-3-sd-2.png,54,57,51,0,0,0,0,57,2,2,click @2,3,50688,50682,49678,49661,49695,50728
,flow.Sequence,1_25,2021-06-03T01:58:51.731Z,,,5,,,1554,completion,1,graph-3-sd-2.png,54,57,51,0,0,0,0,57,2,,,3,50688,50682,49112,49093,49128,50728
Stimulus + Response,canvas.Screen,1_26_1,2021-06-03T01:58:54.354Z,true,1,5,-72,-80,2094,response,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,1,click @1,5,53311,53305,51211,51185,51228,53345
,flow.Sequence,1_26,2021-06-03T01:58:54.354Z,,,5,,,2577,completion,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,53311,53305,50712,50688,50728,53345
Stimulus + Response,canvas.Screen,1_27_1,2021-06-03T01:58:55.661Z,true,4,5,-64,-26,646,response,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,54618,54612,53966,53944,53982,54649
,flow.Sequence,1_27,2021-06-03T01:58:55.661Z,,,5,,,1267,completion,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,54618,54612,53328,53311,53345,54649
Stimulus + Response,canvas.Screen,1_28_1,2021-06-03T01:58:57.505Z,true,2,15,84,30,1274,response,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,56462,56457,55183,55163.00000000001,55200,56500
,flow.Sequence,1_28,2021-06-03T01:58:57.505Z,,,15,,,1808,completion,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,56463,56457,54632,54618,54649,56500
Stimulus + Response,canvas.Screen,1_29_1,2021-06-03T01:58:59.671Z,true,6,15,1,-95,1623.0000000000073,response,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,58628,58623.00000000001,57000,56976,57015,58668
,flow.Sequence,1_29,2021-06-03T01:58:59.671Z,,,15,,,2123.0000000000073,completion,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,58628,58623.00000000001,56482,56463,56500,58668
Stimulus + Response,canvas.Screen,1_30_1,2021-06-03T01:59:01.147Z,true,2,5,88,99,764,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,60104,60098,59334,59309.00000000001,59351,60134
,flow.Sequence,1_30,2021-06-03T01:59:01.147Z,,,5,,,1430,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,60104,60098,58651,58628,58668,60134
Stimulus + Response,canvas.Screen,1_31_1,2021-06-03T01:59:02.189Z,true,4,15,-47,34,555,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,61146,61140,60585,60569,60601,61184
,flow.Sequence,1_31,2021-06-03T01:59:02.189Z,,,15,,,1006,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,61146,61140,60118,60104,60134,61184
