sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:32.150Z,FALSE,5,5,66,-52,2557.503,response,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,3,click @3,5,146613.6,146611.5,144037.35,144044.9,144053.997,146622.246
,flow.Sequence,1_0,2021-06-03T01:53:32.152Z,,,5,,,5838.252,completion,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,146615.3,146611.5,140756.636,140767.8,140773.248,146622.246
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:36.001Z,TRUE,4,5,37,40,1964.032,response,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,4,click @4,7,150464.1,150462.7,148481.973,148490.8,148498.668,150467.055
,flow.Sequence,1_1,2021-06-03T01:53:36.001Z,,,5,,,3840.454,completion,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,,,7,150464.8,150462.7,146605.62,146615.5,146622.246,150467.055
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:38.127Z,TRUE,2,5,-95,94,983.2009999,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,152590.5,152588.9,151589.017,151602.6,151605.699,152601.832
,flow.Sequence,1_2,2021-06-03T01:53:38.128Z,,,5,,,2121.845,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,152591.2,152588.9,150450.431,150465.1,150467.055,152601.832
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:40.315Z,TRUE,5,15,41,49,1189.745,response,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,154778.3,154776.5,153570.09,153577.2,153586.755,154788.938
,flow.Sequence,1_3,2021-06-03T01:53:40.316Z,,,15,,,2174.668,completion,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,154779,154776.5,152585.226,152591.6,152601.832,154788.938
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:42.199Z,TRUE,2,15,8,44,888.599,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,156662.3,156660.3,155755.042,155757.8,155771.701,156680.364
,flow.Sequence,1_4,2021-06-03T01:53:42.200Z,,,15,,,1871.362,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,156663,156660.3,154772.256,154779.4,154788.938,156680.364
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:43.883Z,TRUE,2,15,40,-60,925.0809999,response,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,158346.8,158344.6,157402.905,157409.7,157419.519,158357.26
,flow.Sequence,1_5,2021-06-03T01:53:43.884Z,,,15,,,1664.236,completion,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,158347.6,158344.6,156655.663,156663.4,156680.364,158357.26
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:46.614Z,TRUE,4,15,21,69,1988.627,response,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,161077.4,161076.2,159070.967,159084.2,159087.573,161079.696
,flow.Sequence,1_6,2021-06-03T01:53:46.614Z,,,15,,,2718.94,completion,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,161078,161076.2,158340.602,158348,158357.26,161079.696
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:53:47.981Z,TRUE,1,5,35,16,738.999,response,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,162444.3,162443.3,161687.615,161698.4,161704.301,162454.804
,flow.Sequence,1_7,2021-06-03T01:53:47.981Z,,,5,,,1363.604,completion,1,graph-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,162444.7,162443.3,161072.304,161078.2,161079.696,162454.804
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:53:50.548Z,TRUE,3,5,-32,48,1671.808,response,0,number-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,165011.8,165010.6,163322.114,163327.5,163338.792,165026.915
,flow.Sequence,1_8,2021-06-03T01:53:50.549Z,,,5,,,2555.796,completion,0,number-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,165012.5,165010.6,162438.192,162444.9,162454.804,165026.915
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:53:51.936Z,TRUE,1,15,-13,79,714.884,response,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,166399.6,166397.5,165665.883,165666.4,165682.616,166416.46
,flow.Sequence,1_9,2021-06-03T01:53:51.937Z,,,15,,,1370.585,completion,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,166400.2,166397.5,165010.239,165012.7,165026.915,166416.46
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:53:53.675Z,TRUE,5,5,6,-49,1086.291,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,168138.1,168136.5,167033.522,167039.6,167050.209,168151.039
,flow.Sequence,1_10,2021-06-03T01:53:53.675Z,,,5,,,1720.04,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,168138.7,168136.5,166399.742,166400.6,166416.46,168151.039
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:53:55.546Z,TRUE,1,5,39,96,1164.604,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,170009.4,169999.4,168818.088,168827.6,168834.796,170017.501
,flow.Sequence,1_11,2021-06-03T01:53:55.547Z,,,5,,,1848.361,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,170010.1,169999.4,168134.28,168138.9,168151.039,170017.501
