sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:54:27.580Z,true,4,5,49,-89,2081.6689999851733,response,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,44661.15999998874,44658.20499998517,42559.87,42563.90999999712,42576.536,44676.452
,flow.Sequence,1_0,2021-06-03T01:54:27.581Z,,,5,,,9970.307999985176,completion,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,44662.11999999359,44658.20499998517,34671.231,34666.399999987334,34687.897,44676.452
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:54:30.268Z,true,3,5,50,-6,1354.1789999826506,response,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,47349.904999980936,47347.24499998265,45976.4,45981.39999998966,45993.066,47350.805
,flow.Sequence,1_1,2021-06-03T01:54:30.269Z,,,5,,,2670.792999982652,completion,0,number-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,47350.21499998402,47347.24499998265,44659.786,44662.29999999632,44676.452,47350.805
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:54:34.189Z,true,2,5,89,18,1451.1419999742866,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,51270.45999999973,51268.514999974286,49800.707,49805.00999998185,49817.373,51283.981
,flow.Sequence,1_2,2021-06-03T01:54:34.189Z,,,5,,,3917.709999974286,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,51270.71499999147,51268.514999974286,47334.139,47350.34499998437,47350.805,51283.981
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:54:36.418Z,true,4,15,23,61,1061.864999975136,response,1,graph-7-ld-2.png,53,58,35,71,63,48,42,71,4,4,click @4,7,53499.05499999295,53495.799999975134,52417.269,52420.784999994794,52433.935,53500.559
,flow.Sequence,1_3,2021-06-03T01:54:36.418Z,,,15,,,2211.818999975134,completion,1,graph-7-ld-2.png,53,58,35,71,63,48,42,71,4,,,7,53499.33999998029,53495.799999975134,51267.315,51270.81499999622,51283.981,53500.559
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:38.280Z,true,3,15,-35,2,808.4229999764284,response,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,3,click @3,3,55361.37499997858,55358.93999997643,54533.851,54543.03499998059,54550.517,55367.151
,flow.Sequence,1_4,2021-06-03T01:54:38.280Z,,,15,,,1858.3809999764271,completion,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,,,3,55361.739999993006,55358.93999997643,53483.893,53499.46499997168,53500.559,55367.151
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:41.577Z,true,7,5,-12,20,2355.352999978626,response,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,58658.62999999081,58655.799999978626,56283.781,56292.68499999307,56300.447,58669.879
,flow.Sequence,1_5,2021-06-03T01:54:41.578Z,,,5,,,3288.648999978628,completion,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,58658.97499999846,58655.799999978626,55350.485,55361.894999979995,55367.151,58669.879
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:54:43.756Z,true,2,15,79,-40,998.6509999989721,response,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,2,click @2,3,60837.519999971846,60835.149999998976,59819.833,59832.55999998073,59836.499,60853.125
,flow.Sequence,1_6,2021-06-03T01:54:43.756Z,,,15,,,2165.2709999989747,completion,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,,,3,60837.8499999817,60835.149999998976,58653.213,58659.124999976484,58669.879,60853.125
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:46.616Z,true,6,15,45,40,1924.8449999879886,response,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,63697.369999979855,63694.599999987986,61753.089,61760.96499999403,61769.755,63703.011
,flow.Sequence,1_7,2021-06-03T01:54:46.616Z,,,15,,,2841.474999987986,completion,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,63697.69499998074,63694.599999987986,60836.459,60837.98999999999,60853.125,63703.011
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:54:48.422Z,true,1,15,-3,-46,947.9829999757494,response,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,65503.664999996545,65500.95999997575,64536.311,64539.61999999592,64552.977,65519.605
