sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:47.784Z,true,1,15,-23,-89,2851.469999984949,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,14429.57999999635,14426.21499998495,11558.192,11561.115000047721,11574.745,14440.117
,flow.Sequence,1_0,2021-06-03T01:53:47.784Z,,,15,,,8231.87699998495,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,14429.84500003513,14426.21499998495,6177.936,6194.099999964237,6194.338,14440.117
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:54.466Z,true,5,5,6,52,2039.3010000197064,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,21111.750000040047,21110.035000019707,19054.013,19058.070000028238,19070.734,21119.463
,flow.Sequence,1_1,2021-06-03T01:53:54.466Z,,,5,,,6669.918000019707,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,21112.32000007294,21110.035000019707,14423.182,14429.914999986067,14440.117,21119.463
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:57.860Z,true,2,5,48,83,1286.1190000435126,response,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,24505.869999993593,24504.47000004351,23201.922,23210.625000065193,23218.351,24517.627
,flow.Sequence,1_2,2021-06-03T01:53:57.860Z,,,5,,,3385.0070000435117,completion,1,graph-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,24506.350000039674,24504.47000004351,21103.095,21112.5400000019,21119.463,24517.627
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:54:05.272Z,true,6,15,87,-45,1917.5689999764181,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,31917.75000002235,31915.67999997642,29981.481,29985.454999958165,29998.111,31930.49
,flow.Sequence,1_3,2021-06-03T01:54:05.272Z,,,15,,,7398.0529999764185,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,31918.3099999791,31915.67999997642,24501.192,24506.550000049174,24517.627,31930.49
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:09.118Z,true,2,15,-47,90,2400.5600000609847,response,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,35764.480000012554,35763.35500006098,33346.368,33350.89999996126,33362.795,35778.223
,flow.Sequence,1_4,2021-06-03T01:54:09.119Z,,,15,,,3832.8650000609814,completion,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,35764.88999999128,35763.35500006098,31913.777,31918.479999992996,31930.49,35778.223
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:11.830Z,true,6,5,-8,17,1330.653000036058,response,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,38475.90499999933,38474.59500003606,37127.239,37133.41999996919,37143.942,38493.235
,flow.Sequence,1_5,2021-06-03T01:54:11.830Z,,,5,,,2696.3720000360627,completion,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,38476.32999997586,38474.59500003606,35761.688,35765.09000000078,35778.223,38493.235
