sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:38.776Z,true,6,5,-91,68,1982.6379999970086,response,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,156474.70000000298,156471.79999999702,154472.496,154488.20000000298,154489.162,156489.082
,flow.Sequence,1_0,2021-06-03T01:53:38.777Z,,,5,,,4899.187999997026,completion,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,156475.5,156471.79999999702,151555.946,151562.79999999702,151572.612,156489.082
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:41.277Z,true,2,5,-58,-29,949.6460000000079,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,158974.70000000298,158972,158005.688,158017.59999999404,158022.354,158991.622
,flow.Sequence,1_1,2021-06-03T01:53:41.277Z,,,5,,,2482.918000000005,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,158975,158972,156472.416,156475.59999999404,156489.082,158991.622
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:44.034Z,true,2,15,64,-32,1088.344000005949,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,161732.29999999702,161729.90000000596,160624.89,160630.79999999702,160641.556,161741.512
,flow.Sequence,1_2,2021-06-03T01:53:44.035Z,,,15,,,2738.2780000059574,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,161732.59999999404,161729.90000000596,158974.956,158975.20000000298,158991.622,161741.512
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:46.398Z,true,7,5,-48,2,1102.2380000029807,response,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,7,click @7,7,164096.5,164093.70000000298,162974.796,162978.59999999404,162991.462,164108.084
,flow.Sequence,1_3,2021-06-03T01:53:46.399Z,,,5,,,2352.1880000029923,completion,1,graph-7-sd-4.png,33,37,36,31,34,29,39,39,7,,,7,164096.79999999702,164093.70000000298,161724.846,161732.79999999702,161741.512,164108.084
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:49.116Z,true,1,15,-21,67,1386.4019999940356,response,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,166813.70000000298,166811.09999999404,165408.032,165414.90000000596,165424.698,166824.642
,flow.Sequence,1_4,2021-06-03T01:53:49.116Z,,,15,,,2703.015999994037,completion,1,graph-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,166814.09999999404,166811.09999999404,164091.418,164097,164108.084,166824.642
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:53.635Z,true,5,5,91,-65,2738.5619999970077,response,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,171332.59999999404,171329.79999999702,168574.572,168590.59999999404,168591.238,171342.858
,flow.Sequence,1_5,2021-06-03T01:53:53.635Z,,,5,,,4505.157999997027,completion,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,171333,171329.79999999702,166807.976,166814.29999999702,166824.642,171342.858
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:56.256Z,true,6,15,14,51,1025.0720000029833,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,173953.90000000596,173951.20000000298,172909.462,172924.09999999404,172926.128,173959.42
,flow.Sequence,1_6,2021-06-03T01:53:56.256Z,,,15,,,2608.342000002973,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,173954.20000000298,173951.20000000298,171326.192,171333.09999999404,171342.858,173959.42
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:00.011Z,true,6,15,-21,18,2063.7140000059735,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,177708.59999999404,177706.40000000596,175626.02,175641.09999999404,175642.686,177725.936
,flow.Sequence,1_7,2021-06-03T01:54:00.011Z,,,15,,,3746.9800000059477,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,177708.79999999702,177706.40000000596,173942.754,173954.40000000596,173959.42,177725.936
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:54:02.576Z,true,2,15,95,-100,895.2299999940442,response,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,180273.09999999404,180271.09999999404,179359.204,179365.20000000298,179375.87,180289.737
,flow.Sequence,1_8,2021-06-03T01:54:02.576Z,,,15,,,2545.1639999940526,completion,1,graph-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,180273.29999999702,180271.09999999404,177709.27,177708.90000000596,177725.936,180289.737
