sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:33.377Z,true,2,5,51,82,929,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,154956.00000000003,154948,154019,154001,154043,154985
,flow.Sequence,1_0,2021-06-03T01:53:33.378Z,,,5,,,3680,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,154957,154948,151252,151229,151268,154985
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:37.214Z,true,4,15,91,-81,2151,response,0,number-7-ld-2.png,53,58,35,71,63,48,42,71,4,4,click @4,7,158793,158787,156636,156613,156651,158836
,flow.Sequence,1_1,2021-06-03T01:53:37.215Z,,,15,,,3802,completion,0,number-7-ld-2.png,53,58,35,71,63,48,42,71,4,,,7,158794,158787,154968,154957,154985,158836
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:39.819Z,true,4,5,-46,45,1022,response,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,161397,161391,160369,160356,160385,161435
,flow.Sequence,1_2,2021-06-03T01:53:39.819Z,,,5,,,2555,completion,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,161398,161391,158819.00000000003,158794,158836,161435
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:43.531Z,true,3,15,63,-69,1251,response,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,165110,165103,163852,163826,163868,165152.00000000003
,flow.Sequence,1_3,2021-06-03T01:53:43.531Z,,,15,,,3668,completion,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,165110,165103,161419,161398,161435,165152.00000000003
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:46.516Z,true,5,5,-70,72,2036,response,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,168095,168088,166052,166029,166069.00000000003,168135
,flow.Sequence,1_4,2021-06-03T01:53:46.517Z,,,5,,,2935.999999999971,completion,0,number-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,168096,168088,165135,165110,165152.00000000003,168135
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:48.465Z,true,6,5,63,93,1068,response,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,170044,170037,168969,168955,168985,170085
,flow.Sequence,1_5,2021-06-03T01:53:48.465Z,,,5,,,1902,completion,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,170044,170037,168119,168096,168135,170085
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:50.775Z,true,6,15,-25,55,1529,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,172354,172347,170818,170805,170835,172385
,flow.Sequence,1_6,2021-06-03T01:53:50.776Z,,,15,,,2262,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,172354,172347,170069.00000000003,170044,170085,172385
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:53:52.526Z,true,6,15,20,-19,929,response,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,6,click @6,7,174104,174098,173169,173150,173185,174135
,flow.Sequence,1_7,2021-06-03T01:53:52.526Z,,,15,,,1713,completion,1,graph-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,174105,174098,172368,172355,172385,174135
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:53:54.431Z,true,2,15,2,60,935,response,0,number-3-ld-3.png,21,43,32,0,0,0,0,43,2,2,click @2,3,176010,176003,175068,175048,175084,176052
,flow.Sequence,1_8,2021-06-03T01:53:54.431Z,,,15,,,1868,completion,0,number-3-ld-3.png,21,43,32,0,0,0,0,43,2,,,3,176010,176003,174118,174105,174135,176052
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:53:56.167Z,false,2,15,-47,-73,1070,response,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,3,click @3,5,177745,177738,176668,176651,176685,177784
,flow.Sequence,1_9,2021-06-03T01:53:56.167Z,,,15,,,1686,completion,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,177746,177738,176034,176010,176052,177784
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:53:58.484Z,true,7,5,-13,-14,1137,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,180063.00000000003,180056,178919,178894,178935,180101
,flow.Sequence,1_10,2021-06-03T01:53:58.484Z,,,5,,,2272,completion,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,180063.00000000003,180056,177768,177746,177784,180101
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:53:59.989Z,true,2,15,22,-90,776,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,181568,181561,180785,180760,180802,181601
,flow.Sequence,1_11,2021-06-03T01:53:59.990Z,,,15,,,1460,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,181568,181561,180085,180063.00000000003,180101,181601
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:54:01.958Z,true,1,15,93,-3,1079,response,1,graph-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,183537,183531,182452,182431,182467,183568
,flow.Sequence,1_12,2021-06-03T01:54:01.959Z,,,15,,,1930,completion,1,graph-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,183537,183531,181585,181569.00000000003,181601,183568
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:54:03.720Z,true,3,5,-94,-79,940,response,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,185299,185292,184352,184337.00000000003,184367,185334
,flow.Sequence,1_13,2021-06-03T01:54:03.720Z,,,5,,,1724,completion,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,185299,185292,183551.00000000003,183538,183568,185334
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:54:05.582Z,true,3,15,-61,-60,937,response,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,187161,187154,186217,186191,186235,187202
,flow.Sequence,1_14,2021-06-03T01:54:05.582Z,,,15,,,1820,completion,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,187161,187154,185318,185299,185334,187202
Stimulus + Response,canvas.Screen,1_15_1,2021-06-03T01:54:07.599Z,true,1,5,-50,-54,1069,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,189178,189171,188102,188073,188117,189217
,flow.Sequence,1_15,2021-06-03T01:54:07.599Z,,,5,,,1969,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,189178,189171,187185,187161,187202,189217
