sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:52.385Z,true,6,5,94,74,1486.000000000029,response,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,160070,160057.00000000003,158571,158557.00000000003,158592,160112
,flow.Sequence,1_0,2021-06-03T01:53:52.386Z,,,5,,,3799.000000000029,completion,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,160071,160057.00000000003,156202,156184,156258,160112
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:55.865Z,true,1,15,-13,-68,1723.000000000029,response,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,163550,163539.00000000003,161816,161791,161835,163586
,flow.Sequence,1_1,2021-06-03T01:53:55.865Z,,,15,,,3427.000000000029,completion,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,163550,163539.00000000003,160095,160071,160112,163586
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:59.747Z,true,1,5,37,45,2780,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,167433,167421,164641,164624,164659,167462
,flow.Sequence,1_2,2021-06-03T01:53:59.748Z,,,5,,,3835,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,167433,167421,163569,163551.00000000003,163586,167462
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:54:02.199Z,true,2,5,-100,36,1432,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,169884,169873,168441,168421,168458,169920
,flow.Sequence,1_3,2021-06-03T01:54:02.199Z,,,5,,,2411,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,169885,169873,167446,167433,167462,169920
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:04.409Z,true,7,5,78,-57,1307,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,172094,172079,170772,170751,170790,172122
,flow.Sequence,1_4,2021-06-03T01:54:04.409Z,,,5,,,2159,completion,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,172094,172079,169904,169885,169920,172122
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:06.302Z,true,2,15,2,-12,1120,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,173987,173976,172856,172842,172874,174028
,flow.Sequence,1_5,2021-06-03T01:54:06.302Z,,,15,,,1854,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,173987,173976,172106,172094,172122,174028
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:54:10.179Z,true,6,15,33,13,2923,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,177864,177850,174927,174897,174947,177897
,flow.Sequence,1_6,2021-06-03T01:54:10.179Z,,,15,,,3822,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,177864,177850,174012,173987,174028,177897
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:12.817Z,true,4,5,23,8,1715,response,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,180501,180490,178775,178760,178791,180531
