sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:46.978Z,true,3,5,-18,43,1158,response,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,157712,157715,156557,156545.00000000003,156579,157740
,flow.Sequence,1_0,2021-06-03T01:53:46.978Z,,,5,,,13454,completion,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,157713,157715,144231,144222,144261,157740
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:50.195Z,true,2,5,-24,-97,1123,response,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,2,click @2,3,160929,160933,159810,159786,159827,160960
,flow.Sequence,1_1,2021-06-03T01:53:50.195Z,,,5,,,3193,completion,0,number-3-sd-3.png,21,28,25,0,0,0,0,28,2,,,3,160930,160933,157724,157713,157740,160960
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:53.018Z,true,4,15,-73,39,1779,response,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,163753,163756,161977,161966,161994,163780
,flow.Sequence,1_2,2021-06-03T01:53:53.018Z,,,15,,,2796,completion,0,number-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,163753,163756,160944,160930,160960,163780
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:55.688Z,true,1,15,-30,-17,1413,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,166423,166427,165014,164998,165030,166462
,flow.Sequence,1_3,2021-06-03T01:53:55.688Z,,,15,,,2647,completion,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,166423,166427,163763,163753,163780,166462
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:58.616Z,true,5,15,33,82,1557,response,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,169351,169354,167797,167773,167813,169382
,flow.Sequence,1_4,2021-06-03T01:53:58.616Z,,,15,,,2892,completion,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,169351,169354,166446,166423,166462,169382
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:01.656Z,false,1,15,39,27,1997,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,7,click @7,7,172391,172395,170398,170387,170415,172432
,flow.Sequence,1_5,2021-06-03T01:54:01.656Z,,,15,,,3013,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,172391,172395,169365,169351,169382,172432
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:54:04.543Z,true,6,15,74,-100,1480,response,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,175278,175282,173802,173781,173818,175318
,flow.Sequence,1_6,2021-06-03T01:54:04.543Z,,,15,,,2850,completion,0,number-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,175279,175282,172415,172391,172432,175318
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:07.045Z,true,6,5,-54,-52,1017,response,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,6,click @6,7,177781,177785,176768,176750,176785,177819
,flow.Sequence,1_7,2021-06-03T01:54:07.045Z,,,5,,,2467,completion,1,graph-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,177781,177785,175302,175279,175318,177819
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:54:09.329Z,true,1,15,6,30,871.0000000000291,response,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,180065,180069.00000000003,179198,179179,179215,180098
,flow.Sequence,1_8,2021-06-03T01:54:09.330Z,,,15,,,2250.000000000029,completion,1,graph-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,180065,180069.00000000003,177802,177781,177819,180098
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:54:11.372Z,true,2,15,-4,-55,931,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,182108,182112,181181,181166,181198,182147
,flow.Sequence,1_9,2021-06-03T01:54:11.372Z,,,15,,,2014,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,182108,182112,180081,180065,180098,182147
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:54:13.705Z,true,4,5,-76,55,1297,response,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,4,click @4,7,184441,184445,183148,183136,183165,184470
,flow.Sequence,1_10,2021-06-03T01:54:13.706Z,,,5,,,2298,completion,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,,,7,184441,184445,182132,182108,182147,184470
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:54:16.593Z,false,6,15,-91,-48,1595,response,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,7,click @7,7,187328,187333,185738,185718.00000000003,185754,187371
,flow.Sequence,1_11,2021-06-03T01:54:16.593Z,,,15,,,2863,completion,0,number-7-ld-1.png,42,38,52,33,26,60,47,60,6,,,7,187329,187333,184453,184441,184470,187371
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:54:19.070Z,true,3,15,72,-40,901,response,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,189805,189810,188909,188895,188924,189841
,flow.Sequence,1_12,2021-06-03T01:54:19.070Z,,,15,,,2439,completion,1,graph-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,189805,189810,187354,187329,187371,189841
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:54:22.085Z,true,3,5,87,-61,1584,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,192821,192826,191242,191220,191258,192858
,flow.Sequence,1_13,2021-06-03T01:54:22.086Z,,,5,,,2985,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,192821,192826,189825,189806,189841,192858
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:54:25.706Z,false,6,5,-25,-50,1854,response,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,4,click @4,7,196441,196446,194592,194566,194607,196474
,flow.Sequence,1_14,2021-06-03T01:54:25.706Z,,,5,,,3588,completion,0,number-7-sd-3.png,16,21,24,25,22,28,19,28,6,,,7,196442,196446,192842,192821,192858,196474
Stimulus + Response,canvas.Screen,1_15_1,2021-06-03T01:54:28.110Z,true,3,5,-100,13,826,response,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,3,click @3,3,198846,198851,198025,198001,198041,198877
,flow.Sequence,1_15,2021-06-03T01:54:28.111Z,,,5,,,2377,completion,1,graph-3-sd-4.png,15,11,18,0,0,0,0,18,3,,,3,198846,198851,196459,196442,196474,198877
Stimulus + Response,canvas.Screen,1_16_1,2021-06-03T01:54:30.516Z,true,2,5,-98,-45,1195,response,0,number-3-sd-2.png,54,57,51,0,0,0,0,57,2,2,click @2,3,201252,201256,200061,200044,200078,201294
,flow.Sequence,1_16,2021-06-03T01:54:30.516Z,,,5,,,2379,completion,0,number-3-sd-2.png,54,57,51,0,0,0,0,57,2,,,3,201252,201256,198860,198847,198877,201294
Stimulus + Response,canvas.Screen,1_17_1,2021-06-03T01:54:33.781Z,true,3,5,17,97,1993.000000000029,response,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,204517,204521.00000000003,202528,202514,202544,204557
,flow.Sequence,1_17,2021-06-03T01:54:33.781Z,,,5,,,3227.000000000029,completion,0,number-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,204517,204521.00000000003,201278,201252,201294,204557
Stimulus + Response,canvas.Screen,1_18_1,2021-06-03T01:54:37.545Z,true,5,5,0,42,2512,response,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,208281,208286,205774,205754,205791,208324
,flow.Sequence,1_18,2021-06-03T01:54:37.545Z,,,5,,,3729,completion,0,number-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,208282,208286,204540,204517,204557,208324
Stimulus + Response,canvas.Screen,1_19_1,2021-06-03T01:54:39.829Z,true,6,15,62,48,994,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,210565,210570,209576,209559,209593,210593
,flow.Sequence,1_19,2021-06-03T01:54:39.829Z,,,15,,,2246,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,210566,210570,208307,208282,208324,210593
Stimulus + Response,canvas.Screen,1_20_1,2021-06-03T01:54:42.427Z,true,2,15,-57,-76,1359,response,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,2,click @2,5,213164.00000000003,213169,211810,211794,211825,213192
,flow.Sequence,1_20,2021-06-03T01:54:42.428Z,,,15,,,2576,completion,0,number-5-ld-2.png,1,28,8,14,20,0,0,28,2,,,5,213164.00000000003,213169,210576,210566,210593,213192
Stimulus + Response,canvas.Screen,1_21_1,2021-06-03T01:54:44.937Z,true,1,5,99,40,1299,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,215673,215678,214379,214360,214395,215711
,flow.Sequence,1_21,2021-06-03T01:54:44.937Z,,,5,,,2486,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,215673,215678,213176,213164.00000000003,213192,215711
Stimulus + Response,canvas.Screen,1_22_1,2021-06-03T01:54:46.995Z,true,3,15,-21,-53,908,response,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,217731,217737,216829,216814,216845,217762
,flow.Sequence,1_22,2021-06-03T01:54:46.995Z,,,15,,,2026,completion,1,graph-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,217732,217737,215694,215673,215711,217762
Stimulus + Response,canvas.Screen,1_23_1,2021-06-03T01:54:49.159Z,true,3,15,0,-62,1120,response,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,3,click @3,3,219896.00000000003,219901,218781,218768,218797,219931
,flow.Sequence,1_23,2021-06-03T01:54:49.159Z,,,15,,,2139,completion,0,number-3-ld-2.png,52,62,72,0,0,0,0,72,3,,,3,219896.00000000003,219901,217745,217732,217762,219931
Stimulus + Response,canvas.Screen,1_24_1,2021-06-03T01:54:51.716Z,true,5,5,-23,-1,1160,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,222453,222458,221298,221286,221313,222480
,flow.Sequence,1_24,2021-06-03T01:54:51.717Z,,,5,,,2527,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,222453,222458,219914,219896.00000000003,219931,222480
Stimulus + Response,canvas.Screen,1_25_1,2021-06-03T01:54:54.049Z,true,7,5,63,64,1326,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,224785,224791,223465,223449,223482,224816
,flow.Sequence,1_25,2021-06-03T01:54:54.049Z,,,5,,,2311,completion,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,224786,224791,222464,222453,222480,224816
Stimulus + Response,canvas.Screen,1_26_1,2021-06-03T01:54:55.931Z,true,3,15,-90,-60,791,response,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,3,click @3,3,226668,226673,225882,225870,225900,226699
,flow.Sequence,1_26,2021-06-03T01:54:55.932Z,,,15,,,1857,completion,1,graph-3-ld-5.png,10,19,30,0,0,0,0,30,3,,,3,226668,226673,224799,224786,224816,226699
Stimulus + Response,canvas.Screen,1_27_1,2021-06-03T01:54:58.030Z,true,1,5,-89,-79,1090,response,1,graph-5-sd-5.png,70,63,67,65,60,0,0,70,1,1,click @1,5,228767,228772,227682,227663,227699,228800
,flow.Sequence,1_27,2021-06-03T01:54:58.030Z,,,5,,,2073,completion,1,graph-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,228767,228772,226683,226668,226699,228800
Stimulus + Response,canvas.Screen,1_28_1,2021-06-03T01:55:00.595Z,true,5,5,61,17,1454,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,231332,231338,229884,229867.00000000003,229900,231367
,flow.Sequence,1_28,2021-06-03T01:55:00.596Z,,,5,,,2538,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,231332,231338,228784,228767,228800,231367
Stimulus + Response,canvas.Screen,1_29_1,2021-06-03T01:55:02.839Z,true,3,15,40,-55,1182,response,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,3,click @3,3,233576,233582,232400,232376,232417,233620
,flow.Sequence,1_29,2021-06-03T01:55:02.839Z,,,15,,,2215,completion,0,number-3-ld-1.png,52,43,63,0,0,0,0,63,3,,,3,233576,233582,231350,231333,231367,233620
Stimulus + Response,canvas.Screen,1_30_1,2021-06-03T01:55:05.541Z,true,5,15,-35,-88,848,response,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,236278,236284,235436,235417,235453,236319
,flow.Sequence,1_30,2021-06-03T01:55:05.542Z,,,15,,,2664,completion,1,graph-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,236278,236284,233603,233576,233620,236319
Stimulus + Response,canvas.Screen,1_31_1,2021-06-03T01:55:07.978Z,true,4,15,23,-62,1218,response,0,number-7-ld-2.png,53,58,35,71,63,48,42,71,4,4,click @4,7,238715,238721,237503,237484,237520,238744
,flow.Sequence,1_31,2021-06-03T01:55:07.978Z,,,15,,,2402,completion,0,number-7-ld-2.png,53,58,35,71,63,48,42,71,4,,,7,238715,238721,236302,236279,236319,238744
Stimulus + Response,canvas.Screen,1_32_1,2021-06-03T01:55:11.421Z,true,7,5,-37,47,2119.000000000029,response,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,242158.00000000003,242164.00000000003,240045,240017,240060,242193
,flow.Sequence,1_32,2021-06-03T01:55:11.421Z,,,5,,,3420.000000000029,completion,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,242158.00000000003,242164.00000000003,238728,238716,238744,242193
Stimulus + Response,canvas.Screen,1_33_1,2021-06-03T01:55:13.906Z,true,1,15,-36,74,1101,response,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,244643,244649,243548,243524,243564,244681
,flow.Sequence,1_33,2021-06-03T01:55:13.906Z,,,15,,,2456,completion,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,244644,244649,242177,242158.00000000003,242193,244681
