sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:36.641Z,true,1,15,-24,6,3149.188999997372,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,65625.69499999518,65622.79999999737,62456.945,62457.9950000043,62473.611,65640.151
,flow.Sequence,1_0,2021-06-03T01:53:36.641Z,,,15,,,24348.340999997366,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,65626.46499999391,65622.79999999737,41257.793,41263.43000000634,41274.459,65640.151
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:54:09.048Z,true,2,15,-86,88,1390.5450000008568,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,98032.29000000283,98029.92000000086,96622.709,96627.05500000448,96639.375,98039.319
,flow.Sequence,1_1,2021-06-03T01:54:09.049Z,,,15,,,32389.76900000086,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,98032.6800000039,98029.92000000086,65623.485,65626.60000000324,65640.151,98039.319
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:54:11.424Z,true,1,15,-45,29,1132.4170000056038,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,100408.13500000513,100405.0200000056,99255.937,99268.08999999776,99272.603,100422.557
,flow.Sequence,1_2,2021-06-03T01:54:11.424Z,,,15,,,2365.7010000056034,completion,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,100408.40000000026,100405.0200000056,98022.653,98032.84499999427,98039.319,100422.557
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:54:13.684Z,true,3,5,-99,-45,1359.7500000019645,response,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,3,click @3,5,102667.86000000138,102665.60500000196,101289.189,101294.28499999631,101305.855,102672.467
,flow.Sequence,1_3,2021-06-03T01:54:13.684Z,,,5,,,2243.0480000019597,completion,1,graph-5-sd-4.png,70,68,75,65,72,0,0,75,3,,,5,102668.0950000009,102665.60500000196,100405.891,100408.51500000281,100422.557,102672.467
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:17.424Z,true,5,5,76,91,2798.314999999493,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,106407.67000000051,106404.82999999949,103589.849,103604.93000000133,103606.515,106423.069
,flow.Sequence,1_4,2021-06-03T01:54:17.424Z,,,5,,,3732.3629999994882,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,106408.00500000478,106404.82999999949,102655.801,102668.19500000565,102672.467,106423.069
