sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:38.999Z,true,1,5,-48,99,1930.818000000756,response,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,1,click @1,3,153341.6000000015,153336.80000000075,151389.316,151389.1000000015,151405.982,153355.904
,flow.Sequence,1_0,2021-06-03T01:53:39.000Z,,,5,,,7447.264000000752,completion,0,number-3-sd-5.png,83,76,80,0,0,0,0,83,1,,,3,153342.40000000037,153336.80000000075,145872.87,145884.80000000075,145889.536,153355.904
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:42.094Z,true,5,15,97,-28,1770.236000000732,response,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,156435.70000000112,156433.30000000075,154646.398,154659.70000000112,154663.064,156446.326
,flow.Sequence,1_1,2021-06-03T01:53:42.094Z,,,15,,,3077.3960000007355,completion,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,156436.1000000015,156433.30000000075,153339.238,153342.5,153355.904,156446.326
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:45.135Z,true,1,5,13,-28,1878.5200000007462,response,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,1,click @1,5,159477.1000000015,159474.80000000075,157579.614,157581.5,157596.28,159479.538
,flow.Sequence,1_2,2021-06-03T01:53:45.135Z,,,5,,,3028.474000000744,completion,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,159477.30000000075,159474.80000000075,156429.66,156436.20000000112,156446.326,159479.538
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:48.988Z,true,1,15,-20,-90,2864.7680000014952,response,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,1,click @1,7,163329.90000000037,163327.6000000015,160446.166,160447.70000000112,160462.832,163346.05
,flow.Sequence,1_3,2021-06-03T01:53:48.988Z,,,15,,,3848.0620000014897,completion,0,number-7-ld-4.png,61,27,43,39,34,49,54,61,1,,,7,163330.30000000075,163327.6000000015,159462.872,159477.5,159479.538,163346.05
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:53:51.201Z,true,1,15,96,-91,1111.4600000007486,response,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,1,click @1,3,165543.30000000075,165540.80000000075,164412.674,164419.40000000037,164429.34,165549.397
,flow.Sequence,1_4,2021-06-03T01:53:51.202Z,,,15,,,2194.7500000007567,completion,0,number-3-ld-4.png,90,70,80,0,0,0,0,90,1,,,3,165543.70000000112,165540.80000000075,163329.384,163330.6000000015,163346.05,165549.397
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:53:53.900Z,true,4,5,-31,-54,1723.3750000003783,response,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,168242.1000000015,168239.40000000037,166499.359,166514,166516.025,168249.289
,flow.Sequence,1_5,2021-06-03T01:53:53.901Z,,,5,,,2690.0030000003753,completion,0,number-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,168242.40000000037,168239.40000000037,165532.731,165543.90000000037,165549.397,168249.289
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:53:55.914Z,true,2,5,56,28,1071.0150000014983,response,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,2,click @2,3,170256,170253.6000000015,169165.919,169181.40000000037,169182.585,170265.875
,flow.Sequence,1_6,2021-06-03T01:53:55.915Z,,,5,,,2004.3110000015004,completion,1,graph-3-sd-1.png,71,75,68,0,0,0,0,75,2,,,3,170256.40000000037,170253.6000000015,168232.623,168242.6000000015,168249.289,170265.875
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:53:57.912Z,true,5,5,-31,-61,1035.6630000000005,response,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,5,click @5,5,172253.90000000037,172251.5,171199.171,171203.5,171215.837,172265.795
,flow.Sequence,1_7,2021-06-03T01:53:57.912Z,,,5,,,1985.625,completion,1,graph-5-sd-3.png,81,77,84,79,86,0,0,86,5,,,5,172254,172251.5,170249.209,170256.5,170265.875,172265.795
Stimulus + Response,canvas.Screen,1_8_1,2021-06-03T01:53:59.759Z,true,4,5,-67,-10,965.873000000749,response,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,4,click @4,5,174100.70000000112,174098.30000000075,173115.761,173129.5,173132.427,174115.721
,flow.Sequence,1_8,2021-06-03T01:53:59.759Z,,,5,,,1832.5050000007323,completion,1,graph-5-sd-1.png,48,43,46,53,51,0,0,53,4,,,5,174101.1000000015,174098.30000000075,172249.129,172254.20000000112,172265.795,174115.721
Stimulus + Response,canvas.Screen,1_9_1,2021-06-03T01:54:01.630Z,true,6,15,-31,-95,1053.310999999987,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,175971.30000000075,175969,174899.023,174912.5,174915.689,175978.456
,flow.Sequence,1_9,2021-06-03T01:54:01.630Z,,,15,,,1853.2790000000095,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,175971.6000000015,175969,174099.055,174101.20000000112,174115.721,175978.456
Stimulus + Response,canvas.Screen,1_10_1,2021-06-03T01:54:03.532Z,true,2,15,24,69,876.6180000011227,response,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,2,click @2,3,177874,177871.70000000112,176978.416,176981.90000000037,176995.082,177878.38
,flow.Sequence,1_10,2021-06-03T01:54:03.533Z,,,15,,,1893.244000001112,completion,1,graph-3-ld-3.png,21,43,32,0,0,0,0,43,2,,,3,177874.30000000075,177871.70000000112,175961.79,175971.70000000112,175978.456,177878.38
Stimulus + Response,canvas.Screen,1_11_1,2021-06-03T01:54:06.127Z,true,1,15,85,15,1504.9300000014773,response,0,number-7-ld-3.png,90,68,62,83,77,73,56,90,1,1,click @1,7,180468.90000000037,180466.6000000015,178945.004,178948.40000000037,178961.67,180478.276
,flow.Sequence,1_11,2021-06-03T01:54:06.128Z,,,15,,,2588.2200000014855,completion,0,number-7-ld-3.png,90,68,62,83,77,73,56,90,1,,,7,180469.1000000015,180466.6000000015,177861.714,177874.40000000037,177878.38,180478.276
Stimulus + Response,canvas.Screen,1_12_1,2021-06-03T01:54:09.010Z,true,1,15,-94,-11,1920.1620000003604,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,183350.90000000037,183348.40000000037,181411.572,181424.40000000037,181428.238,183361.494
,flow.Sequence,1_12,2021-06-03T01:54:09.010Z,,,15,,,2870.12400000036,completion,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,183351.20000000112,183348.40000000037,180461.61,180469.30000000075,180478.276,183361.494
Stimulus + Response,canvas.Screen,1_13_1,2021-06-03T01:54:12.719Z,true,7,5,-69,-96,2696.4460000003746,response,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,187060.20000000112,187057.90000000037,184344.788,184345.70000000112,184361.454,187061.346
,flow.Sequence,1_13,2021-06-03T01:54:12.719Z,,,5,,,3696.4060000003665,completion,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,187060.40000000037,187057.90000000037,183344.828,183351.30000000075,183361.494,187061.346
Stimulus + Response,canvas.Screen,1_14_1,2021-06-03T01:54:15.187Z,true,7,5,60,71,1596.1089999999967,response,1,graph-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,189528.20000000112,189526,187913.225,187919.90000000037,187929.891,189529.827
