,count,mean,std,min,25%,50%,75%,max
Graph,25.0,1056.4322883306456,160.52663748627546,775.4583333333345,966.5133749985463,1021.6087333324393,1092.4117666524928,1441.2877333306503
Number,25.0,1745.1721048885975,249.00955121783042,1369.1915194444373,1516.3305555555564,1757.3888888888912,1895.063177779243,2267.495416666654
Large,25.0,1309.514816109452,188.08721033625787,979.2747277777638,1170.218366676057,1312.2367916655005,1376.3377777511112,1747.1853250067427
Small,25.0,1492.0895771097903,207.97775633036056,1246.4555555555614,1334.7561333316585,1452.2916666666697,1633.6116000006741,1982.9250833333379
3,25.0,1084.5044463317013,119.48246391450982,872.6358499999907,1024.0125000000003,1054.8250000000032,1166.5060499999936,1384.930616679333
5,25.0,1430.3165908321434,191.70274552506805,1120.9458333333341,1301.6150124999785,1404.508337498512,1534.2522208494838,1907.5147999999986
7,25.0,1687.5855526650191,298.8043824125533,1174.6908666666563,1478.8541666666706,1645.1000000000063,1974.9505500001164,2264.0265249999984
