,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
21,488.1259999999311,822.5209999999788,1059.0069999999832,604.7519999999495,867.603999999963,1597.9700000000012,844.8369999999995,1804.527000000031,1297.3480000000563,823.466000000044,,1183.350000000064
22,860.9689999999537,690.2980000000098,598.6139999999432,527.7860000000219,1430.3649999999616,772.0229999999574,,1781.8040000000035,1192.6089999999676,1188.015999999945,1743.539999999979,1473.7389999999432
23,594.9870000000519,675.2390000000014,846.1560000000463,720.0540000000328,1340.508999999991,853.3039999999746,1212.6509999999837,1483.9409999999916,,1575.6330000000016,1961.6100000000151,2010.9860000000333
24,558.9839999999967,649.1489999999176,1196.211999999941,769.1590000000142,1255.4129999999714,814.6600000000035,843.9319999999425,1296.9299999999348,,1162.436000000016,1861.8979999999572,1766.8079999999609
25,747.0000000000018,696.0,841.0,706.0,1417.0,802.0,928.0,1274.0,1343.0,1209.0,,2061.0
26,658.0,650.0,959.0,651.0,712.0000000000036,,,,1644.0,1942.0,1379.0,1796.0
27,605.0000000000036,555.0,713.0,770.0,646.0,941.0,1241.0,1496.0,1623.0000000000073,1513.0,2094.0,
28,678.0,609.0,1115.0000000000146,1004.0,591.0,651.0,961.0,1182.0,,2509.0,1476.0,1906.0
29,542.0,957.0,546.0,764.0,963.0000000000146,941.0,1111.0,,1299.0,881.0,1480.0,1706.0
30,1386.4019999940356,1088.344000005949,1025.0720000029833,949.646000000008,1109.5350000000035,1102.2380000029807,1076.2630000059726,1387.7880000059668,2063.714000005973,1153.1560000059544,,1982.6379999970088
31,842.1659999940312,895.2299999940442,1181.4399999970335,823.5139999940293,1055.9509999970323,1240.355000002979,1081.259999994043,,,1141.5150000029826,1090.6979999940377,2738.561999997008
32,1746.489999997022,988.0819999999948,811.4349999999977,789.4659999999858,971.789999994042,1236.8689999940398,,1324.1769999940298,1874.408999994048,1317.7770000029705,1895.4699999940349,
33,817.8379999970202,1020.4759999999952,1165.2919999940495,754.9740000029851,921.0620000059716,992.1800000029908,1026.1720000059577,1450.3459999940242,1838.5239999970072,,1502.9530000030063,3192.771000005945
34,776.1379999970086,865.2000000029802,1173.6569999970088,831.6530000029597,1138.6399999940477,947.127000005974,,1304.7210000000196,2188.558000002988,966.5560000030092,,1991.2060000000056
35,901.0,871.0000000000291,994.0,826.0,1158.0,1017.0,1120.0,1779.0,,1123.0,1993.000000000029,1297.0
36,908.0,931.0,841.0,1012.0,1584.0,1160.0,1182.0,1413.0,1480.0,1195.0,2512.0,
37,791.0,848.0,1065.0,1102.0,1090.0,1326.0,1101.0,1557.0,,1299.0,1725.0,2119.000000000029
38,906.0,1338.0,1038.0000000000582,1115.0,1454.0,912.0000000000292,1332.0,1359.0,1218.0,,2047.0,2905.0
39,1097.0,1203.0,1195.0,1053.0,908.0,1427.0,1151.0,,2022.999999999971,1215.0,1374.0,2266.0
40,1251.0,776.0,929.0,929.0,1022.0,1068.0,935.0,,2151.0,1069.0,1410.0,2036.0
41,794.0,975.0,1079.0,643.0,940.0,1137.0,937.0,,1529.0,1145.0,2047.0,2450.0
42,868.0,744.0,649.0,660.0000000000291,985.0000000000292,,1822.0,1363.0,,967.0,1714.0,2564.0
43,759.0,1011.0,1103.000000000029,916.0,2193.0,769.0,951.0000000000292,1126.0,1626.0,1529.0,1158.0,1702.0
44,667.0,884.0,1200.0,716.0,860.0,1685.0,1014.0000000000292,1376.0,2015.0,911.0,1820.0,1715.999999999971
45,711.0,946.0,1098.0,1224.0,841.0,1126.0,1009.0,2110.0,1302.0,,1420.0,1435.0
46,1248.0,895.0,1022.0,1052.0,1122.0,1081.0,905.0000000000292,1710.0,1983.0,1310.0,2242.0,
47,701.0,944.0,1064.0,826.0,2817.0,1881.000000000029,1309.0,1375.0,1390.0,1229.000000000029,1386.0,1539.0
48,762.0,1004.0,1142.0,966.0,1002.0,1381.0,1268.0,1567.0,1162.0,1002.0,2099.0,
49,1013.0,766.0,894.0,905.0,869.0000000000291,1173.000000000029,935.0,1026.999999999971,1717.0,1469.0,,
50,778.2249999955238,871.1449999955366,1196.1520000014862,760.7039999970293,1707.7760000014969,1075.3629999970144,766.8069999985164,1223.446999997017,2621.088999995525,1258.7529999955295,1489.0129999985074,2423.5819999970263
51,750.9059999999881,900.5489999970305,909.06700000001,921.422999997012,967.0499999999884,1168.4349999985134,967.2350000014994,1294.3090000000084,2320.4960000000137,1680.1140000000014,1376.7980000000098,2520.1860000015004
52,792.3929999984975,974.7230000014824,960.4920000014828,1012.0849999985076,997.6579999955428,877.8809999985097,1686.7809999985038,2605.781000001501,1232.9230000000098,1253.1519999970333,1678.0269999985176,2009.7790000014936
53,734.2659999955213,1158.9370000000054,929.5419999985024,848.4209999985178,,763.1489999970072,1350.7289999970235,1367.097999995516,1867.1830000015036,1094.4240000014834,1430.0479999984964,2321.1499999955413
54,641.9290000000037,1650.4150000014924,1088.8010000000068,729.8630000014964,935.5289999955276,740.5189999955182,898.8719999970053,2816.3889999955427,,1037.6529999970226,,
55,889.0,1024.0,1205.0,985.0,1423.0000000000073,1090.0,1183.0000000000146,1788.0,2500.0,1552.0,,1864.0
56,975.0,1098.0,1172.0,767.0,1045.0,1103.0,1370.0,1775.0,2263.0,1115.0,1903.0,2174.0
57,942.0,1286.0,1154.0,844.0,1220.0,989.0,1149.0,1589.0,2996.0,1274.0,1514.0,1662.0
58,709.0,843.0,946.0,865.0000000000291,1076.0,896.0000000000291,1024.000000000029,1685.0,1673.000000000029,1055.0,2449.000000000029,1936.000000000029
59,957.0,974.0,936.0,842.0,1827.0,820.0,1127.0,1547.0,,1484.0,,3165.000000000029
60,941.0,1292.0,1070.0,896.0,1146.0,1066.0,1494.0,1735.0,1261.0,1131.0,1326.0,1632.0
61,991.0,1104.0,936.0,1233.0,1027.0,1176.000000000029,1317.000000000029,1274.0,,1334.999999999971,1046.0,2288.0
62,878.0,793.0,903.0,863.0,1204.000000000029,1100.0000000000582,1061.0,,2933.0,1083.0,,1745.000000000029
63,842.0,833.0,915.0,689.0,1546.0,1335.0,1249.0,1589.0,1492.0,893.0,1614.0,1895.000000000029
64,793.0,761.0000000000582,949.0000000000582,874.0000000000582,1022.0,1346.0,1209.0,1660.0,1861.0,988.0,,1762.0
65,966.1509999999544,844.2630000000063,1289.996999999974,874.6189999999478,3046.554000000004,1436.052999999985,1409.0080000000016,2516.143000000069,2008.5489999999409,799.4700000000594,1747.8370000000286,2798.059000000037
66,1646.68299999999,1052.4159999999392,1085.5200000000186,848.3340000000317,1183.4520000000484,2184.5809999999474,995.1980000000332,2380.6029999999155,2386.8120000000345,1581.6819999999134,1421.158999999869,3405.0070000000123
67,866.3480000000854,1291.3639999999723,1185.3979999999865,1344.1129999999248,1634.4230000000098,1625.4730000001146,1212.456999999937,1356.4219999999625,1413.8609999999462,1541.8219999999274,2964.127000000095,
68,1021.6380000000354,1496.954000000027,710.6749999999302,813.7940000000526,1019.896000000066,2492.1959999999963,1565.2259999999078,2367.167000000016,2874.3360000000102,1322.7150000000256,3590.369000000006,3441.5259999999253
69,895.9510000000591,1002.0080000000308,1348.6590000001015,1070.253999999928,1302.7939999999944,1155.524000000034,1458.0559999999823,2779.6479999999283,3845.683999999892,1096.6020000000717,3152.6969999999856,4945.178000000073
70,825.1539999965753,1390.5450000008568,1038.6419999986538,1009.838000004107,1359.7500000019645,2798.314999999493,1297.6199999989476,1132.4170000056038,3149.188999997372,1238.0029999992694,2488.1829999979527,3488.846999995061
71,727.2960000055464,865.718000002802,1770.1890000051644,1083.6120000066148,1730.9819999998144,1373.7490000007383,1186.6270000027723,1862.746000007348,2681.8670000041893,1013.2479999966454,1097.852000007406,
72,1261.5770000045595,981.036999997028,821.9900000056659,915.8820000058622,912.0639999976848,1692.929000000615,1013.024999994028,1491.0029999982798,2805.8260000057053,971.1120000075024,1952.6989999995856,2250.7539999935543
73,999.557999999437,844.2580000044836,1306.0700000020734,1697.3759999950998,2606.484999993816,2343.6949999970384,1119.8380000057225,3206.588999995991,1759.7759999996051,1437.656000004907,,2452.3520000055432
74,849.5230000015581,948.0900000010442,1171.0879999985627,915.2850000053004,1092.465999998676,1876.909999997064,1305.5890000012005,1420.409000005544,2675.0350000075123,1199.8420000073093,,
75,854.0,1120.0,1266.0,1432.0,1336.0,1486.000000000029,1723.000000000029,1363.0,2923.0,2780.0,1715.0,
76,896.0000000000291,988.0,1544.0,1022.0,1034.0,1307.0,1595.0,2465.0,1423.0,1136.0,2031.000000000029,2086.0
77,835.0,761.0,1152.999999999971,847.0,860.0,1044.0,1588.000000000029,1450.0,2111.0,1723.0,,3654.0
78,802.0,1096.0,887.0,915.0000000000292,981.0,1471.999999999971,1803.0,,,1800.0,2259.0,3422.0
79,941.0,872.0,1368.0,840.0,1134.0,1463.0,970.0,1563.0,1400.0,1249.0,1445.0,4389.0
80,914.0390000193293,715.0449999886623,791.3909999946773,818.6669999992591,917.15900003539,1270.6039999975037,995.9940000138448,2658.720999988436,1891.2670000223295,931.8580000240764,1504.0959999927873,2136.4830000106303
81,613.7800000105199,733.2840000012948,1001.0390000297048,759.0820000129461,1778.1309999909136,1241.426000005944,,1764.049999982366,1645.6530000235653,1167.2800000174902,1689.151000014739,
82,673.32600001627,849.6580000157119,726.5970000165398,642.1670000043086,1625.3260000194714,1220.9129999857396,1101.7020000015036,1408.1190000297793,1277.839000011474,839.3320000235981,1917.0950000189769,1775.7480000174255
