,graphFlag,deviation,size,duration
1086,0.0,5.0,7.0,3430.864
1089,0.0,5.0,7.0,1797.188
1094,0.0,5.0,7.0,2213.398
1114,0.0,5.0,7.0,3037.616
1115,0.0,5.0,7.0,2431.506
1158,0.0,5.0,7.0,1561.7999999826716
1173,0.0,5.0,7.0,2671.315999961705
1177,0.0,5.0,7.0,1994.801999997988
1193,0.0,5.0,7.0,1653.1970000409638
1199,0.0,5.0,7.0,4805.613000052632
1200,0.0,5.0,7.0,3463.272999998502
1230,0.0,5.0,7.0,2976.297999997012
1236,0.0,5.0,7.0,2286.6300000000047
1248,0.0,5.0,7.0,2310.512999999977
1252,0.0,5.0,7.0,4021.554999995511
1273,0.0,5.0,7.0,2001.6129999906843
1289,0.0,5.0,7.0,2088.2599999885133
1291,0.0,5.0,7.0,1795.125999976517
1292,0.0,5.0,7.0,1701.7099999993952
1307,0.0,5.0,7.0,3087.5979999857373
1333,0.0,5.0,7.0,2696.4460000003746
1349,0.0,5.0,7.0,1994.6690000011292
1356,0.0,5.0,7.0,3702.3780000007537
1368,0.0,5.0,7.0,3401.069000000367
1372,0.0,5.0,7.0,3234.690000001516
1414,0.0,5.0,7.0,2475.5920000001206
1416,0.0,5.0,7.0,2701.5500000000466
1417,0.0,5.0,7.0,2668.9930000001623
1427,0.0,5.0,7.0,4645.269000000146
1433,0.0,5.0,7.0,3426.646000000066
1451,0.0,5.0,7.0,2295.4499999553664
1460,0.0,5.0,7.0,2009.8620000877709
1471,0.0,5.0,7.0,2178.9469999839785
1474,0.0,5.0,7.0,2940.824999887933
1492,0.0,5.0,7.0,2750.846000108839
3,0.0,15.0,3.0,1724.0
16,0.0,15.0,3.0,1129.0
17,0.0,15.0,3.0,1259.000000000029
23,0.0,15.0,3.0,1463.0
59,0.0,15.0,3.0,1145.0
67,0.0,15.0,3.0,1021.0
83,0.0,15.0,3.0,1164.0
86,0.0,15.0,3.0,941.0
99,0.0,15.0,3.0,971.0
116,0.0,15.0,3.0,1049.0
120,0.0,15.0,3.0,1027.5909999912546
147,0.0,15.0,3.0,1625.7509999902395
157,0.0,15.0,3.0,846.4729999997362
163,0.0,15.0,3.0,1168.6999999890104
166,0.0,15.0,3.0,974.7539999935252
188,0.0,15.0,3.0,1572.5480000000389
207,0.0,15.0,3.0,995.652000000002
224,0.0,15.0,3.0,1965.4069999999483
225,0.0,15.0,3.0,931.0209999999496
233,0.0,15.0,3.0,893.3950000000186
252,0.0,15.0,3.0,711.1600000000326
268,0.0,15.0,3.0,844.8369999999995
275,0.0,15.0,3.0,711.0329999999667
276,0.0,15.0,3.0,1212.6509999999837
291,0.0,15.0,3.0,843.9319999999425
321,0.0,15.0,3.0,928.0
339,0.0,15.0,3.0,934.0
350,0.0,15.0,3.0,1241.0
353,0.0,15.0,3.0,961.0
358,0.0,15.0,3.0,1111.0
381,0.0,15.0,3.0,1076.2630000059726
389,0.0,15.0,3.0,1081.259999994043
409,0.0,15.0,3.0,1123.0899999969988
414,0.0,15.0,3.0,1026.1720000059577
415,0.0,15.0,3.0,1203.5820000029637
443,0.0,15.0,3.0,1120.0
449,0.0,15.0,3.0,1182.0
453,0.0,15.0,3.0,1101.0
467,0.0,15.0,3.0,1332.0
473,0.0,15.0,3.0,1151.0
488,0.0,15.0,3.0,935.0
494,0.0,15.0,3.0,937.0
496,0.0,15.0,3.0,1822.0
512,0.0,15.0,3.0,951.0000000000292
530,0.0,15.0,3.0,1014.0000000000292
550,0.0,15.0,3.0,1009.0
557,0.0,15.0,3.0,905.0000000000292
569,0.0,15.0,3.0,1309.0
585,0.0,15.0,3.0,1268.0
599,0.0,15.0,3.0,935.0
607,0.0,15.0,3.0,766.8069999985164
610,0.0,15.0,3.0,967.2350000014994
631,0.0,15.0,3.0,1686.7809999985038
633,0.0,15.0,3.0,1350.7289999970235
643,0.0,15.0,3.0,898.8719999970053
671,0.0,15.0,3.0,1183.0000000000146
685,0.0,15.0,3.0,1370.0
686,0.0,15.0,3.0,1149.0
701,0.0,15.0,3.0,1024.000000000029
705,0.0,15.0,3.0,1127.0
740,0.0,15.0,3.0,1494.0
747,0.0,15.0,3.0,1317.000000000029
749,0.0,15.0,3.0,1061.0
768,0.0,15.0,3.0,1249.0
776,0.0,15.0,3.0,1209.0
783,0.0,15.0,3.0,1409.0080000000016
784,0.0,15.0,3.0,995.1980000000332
789,0.0,15.0,3.0,1212.456999999937
824,0.0,15.0,3.0,1565.2259999999078
839,0.0,15.0,3.0,1458.0559999999823
864,0.0,15.0,3.0,1297.6199999989476
876,0.0,15.0,3.0,1186.6270000027723
883,0.0,15.0,3.0,1013.024999994028
894,0.0,15.0,3.0,1119.8380000057225
899,0.0,15.0,3.0,1305.5890000012005
901,0.0,15.0,3.0,1723.000000000029
910,0.0,15.0,3.0,1595.0
920,0.0,15.0,3.0,1588.000000000029
923,0.0,15.0,3.0,1803.0
950,0.0,15.0,3.0,970.0
973,0.0,15.0,3.0,995.9940000138448
979,0.0,15.0,3.0,963.6030000310276
981,0.0,15.0,3.0,1101.7020000015036
1003,0.0,15.0,3.0,1073.970999985817
1006,0.0,15.0,3.0,1026.0330000333488
1032,0.0,15.0,3.0,991.1889999
1034,0.0,15.0,3.0,1367.307
1050,0.0,15.0,3.0,1157.237
1061,0.0,15.0,3.0,1045.984
1070,0.0,15.0,3.0,1373.866
1082,0.0,15.0,3.0,1216.186
1102,0.0,15.0,3.0,1327.192
1124,0.0,15.0,3.0,1300.722
1130,0.0,15.0,3.0,1515.683
1132,0.0,15.0,3.0,1111.092
1161,0.0,15.0,3.0,1279.241000017515
1165,0.0,15.0,3.0,1683.5700000080833
1174,0.0,15.0,3.0,1209.5369999772083
1176,0.0,15.0,3.0,1361.0539999737812
1187,0.0,15.0,3.0,1222.2650000294962
1237,0.0,15.0,3.0,1097.8639999940642
1238,0.0,15.0,3.0,2171.681999999972
1250,0.0,15.0,3.0,1274.7490000000107
1257,0.0,15.0,3.0,955.5960000000196
1259,0.0,15.0,3.0,1315.8659999940428
1280,0.0,15.0,3.0,1121.9459999847022
1288,0.0,15.0,3.0,1217.7309999999416
1297,0.0,15.0,3.0,1152.6789999911562
1310,0.0,15.0,3.0,921.8859999960404
1315,0.0,15.0,3.0,913.9889999865554
1324,0.0,15.0,3.0,1111.4600000007486
1340,0.0,15.0,3.0,1117.366000000737
1355,0.0,15.0,3.0,1262.155999999988
1364,0.0,15.0,3.0,1480.2140000014915
1378,0.0,15.0,3.0,1273.995000000752
1389,0.0,15.0,3.0,1074.3120000000345
1401,0.0,15.0,3.0,1448.9560000001802
1422,0.0,15.0,3.0,1398.8640000001178
1423,0.0,15.0,3.0,1158.6650000001537
1437,0.0,15.0,3.0,1472.9390000001297
1457,0.0,15.0,3.0,1553.2619999451565
1482,0.0,15.0,3.0,1523.6109999836772
1486,0.0,15.0,3.0,1494.393000038748
1490,0.0,15.0,3.0,1046.5999999079213
1495,0.0,15.0,3.0,1836.3030000188735
0,0.0,15.0,5.0,1850.0
5,0.0,15.0,5.0,3007.0
46,0.0,15.0,5.0,1369.0
49,0.0,15.0,5.0,2029.000000000029
57,0.0,15.0,5.0,1300.0
78,0.0,15.0,5.0,3319.0
85,0.0,15.0,5.0,1115.0
87,0.0,15.0,5.0,1108.0
93,0.0,15.0,5.0,1466.0
103,0.0,15.0,5.0,1114.0
121,0.0,15.0,5.0,1343.8179999955464
130,0.0,15.0,5.0,2210.962999998941
135,0.0,15.0,5.0,2204.198999998276
138,0.0,15.0,5.0,1471.9919999909762
173,0.0,15.0,5.0,1840.1769999941464
195,0.0,15.0,5.0,1324.9979999999632
198,0.0,15.0,5.0,1263.1479999999865
200,0.0,15.0,5.0,1699.4750000000058
209,0.0,15.0,5.0,1162.4750000000058
213,0.0,15.0,5.0,1067.2779999999912
243,0.0,15.0,5.0,1447.5419999999576
246,0.0,15.0,5.0,1804.527000000031
250,0.0,15.0,5.0,1781.8040000000035
257,0.0,15.0,5.0,1483.9409999999916
260,0.0,15.0,5.0,1296.9299999999348
328,0.0,15.0,5.0,1274.0
345,0.0,15.0,5.0,1164.0
351,0.0,15.0,5.0,1496.0
354,0.0,15.0,5.0,1182.0
355,0.0,15.0,5.0,1399.0
385,0.0,15.0,5.0,1387.7880000059668
393,0.0,15.0,5.0,1098.1840000000084
402,0.0,15.0,5.0,1324.1769999940298
410,0.0,15.0,5.0,1450.3459999940242
418,0.0,15.0,5.0,1304.7210000000196
422,0.0,15.0,5.0,1779.0
423,0.0,15.0,5.0,1413.0
424,0.0,15.0,5.0,1557.0
440,0.0,15.0,5.0,1359.0
464,0.0,15.0,5.0,1307.0
489,0.0,15.0,5.0,1070.0
503,0.0,15.0,5.0,1174.000000000029
506,0.0,15.0,5.0,1363.0
514,0.0,15.0,5.0,1126.0
537,0.0,15.0,5.0,1376.0
543,0.0,15.0,5.0,2110.0
565,0.0,15.0,5.0,1710.0
566,0.0,15.0,5.0,1375.0
595,0.0,15.0,5.0,1567.0
596,0.0,15.0,5.0,1026.999999999971
615,0.0,15.0,5.0,1223.446999997017
617,0.0,15.0,5.0,1294.3090000000084
629,0.0,15.0,5.0,2605.781000001501
639,0.0,15.0,5.0,1367.097999995516
653,0.0,15.0,5.0,2816.3889999955427
670,0.0,15.0,5.0,1788.0
674,0.0,15.0,5.0,1775.0
683,0.0,15.0,5.0,1589.0
689,0.0,15.0,5.0,1685.0
716,0.0,15.0,5.0,1547.0
720,0.0,15.0,5.0,1735.0
731,0.0,15.0,5.0,1274.0
748,0.0,15.0,5.0,1705.0
765,0.0,15.0,5.0,1589.0
772,0.0,15.0,5.0,1660.0
802,0.0,15.0,5.0,2516.143000000069
805,0.0,15.0,5.0,2380.6029999999155
806,0.0,15.0,5.0,1356.4219999999625
833,0.0,15.0,5.0,2367.167000000016
836,0.0,15.0,5.0,2779.6479999999283
842,0.0,15.0,5.0,1132.4170000056038
854,0.0,15.0,5.0,1862.746000007348
857,0.0,15.0,5.0,1491.0029999982798
871,0.0,15.0,5.0,3206.588999995991
889,0.0,15.0,5.0,1420.409000005544
911,0.0,15.0,5.0,1363.0
924,0.0,15.0,5.0,2465.0
930,0.0,15.0,5.0,1450.0
931,0.0,15.0,5.0,2110.0
941,0.0,15.0,5.0,1563.0
974,0.0,15.0,5.0,2658.720999988436
976,0.0,15.0,5.0,1764.049999982366
986,0.0,15.0,5.0,1408.1190000297793
993,0.0,15.0,5.0,1333.1839999815857
999,0.0,15.0,5.0,1232.4410000196367
1026,0.0,15.0,5.0,1988.627
1033,0.0,15.0,5.0,1515.864
1043,0.0,15.0,5.0,3299.359
1071,0.0,15.0,5.0,1578.616
1074,0.0,15.0,5.0,1702.259
1099,0.0,15.0,5.0,2011.068
1106,0.0,15.0,5.0,2126.281
1117,0.0,15.0,5.0,1625.153
1118,0.0,15.0,5.0,1582.107
1134,0.0,15.0,5.0,2113.345
1144,0.0,15.0,5.0,2400.5600000609847
1155,0.0,15.0,5.0,2212.115999972433
1189,0.0,15.0,5.0,1200.273000057554
1195,0.0,15.0,5.0,2021.392999991891
1196,0.0,15.0,5.0,1868.1099999597936
1203,0.0,15.0,5.0,1970.9499999940451
1206,0.0,15.0,5.0,1617.2239999955343
1219,0.0,15.0,5.0,1138.1449999985052
1244,0.0,15.0,5.0,1444.8279999999795
1256,0.0,15.0,5.0,1747.6199999970268
1270,0.0,15.0,5.0,1554.1669999970327
1272,0.0,15.0,5.0,1416.8289999901026
1274,0.0,15.0,5.0,1298.5009999930626
1276,0.0,15.0,5.0,1567.195999990479
1284,0.0,15.0,5.0,1938.7049999717856
1321,0.0,15.0,5.0,1770.236000000732
1332,0.0,15.0,5.0,1920.1620000003604
1351,0.0,15.0,5.0,1987.9030000011264
1358,0.0,15.0,5.0,1327.6630000011064
1361,0.0,15.0,5.0,2466.4780000007595
1413,0.0,15.0,5.0,1083.6200000000244
1419,0.0,15.0,5.0,1628.8560000002035
1429,0.0,15.0,5.0,1427.3230000000913
1432,0.0,15.0,5.0,1795.475000000035
1435,0.0,15.0,5.0,1995.8910000001777
1442,0.0,15.0,5.0,2624.219000064375
1445,0.0,15.0,5.0,2631.416999893234
1452,0.0,15.0,5.0,2235.7680000923865
1468,0.0,15.0,5.0,1867.482999894652
1487,0.0,15.0,5.0,1550.5809999461344
9,0.0,15.0,7.0,2256.0
15,0.0,15.0,7.0,2297.0
40,0.0,15.0,7.0,1847.0
48,0.0,15.0,7.0,1851.0
55,0.0,15.0,7.0,1218.000000000029
65,0.0,15.0,7.0,1644.0
75,0.0,15.0,7.0,1303.000000000029
84,0.0,15.0,7.0,1586.0
111,0.0,15.0,7.0,1777.000000000029
115,0.0,15.0,7.0,1347.000000000029
122,0.0,15.0,7.0,1489.3889999932435
128,0.0,15.0,7.0,2512.4799999997776
142,0.0,15.0,7.0,1375.3029999972205
160,0.0,15.0,7.0,1485.6589999934076
169,0.0,15.0,7.0,1539.6189999941853
181,0.0,15.0,7.0,1163.2850000000617
205,0.0,15.0,7.0,1749.832999999955
208,0.0,15.0,7.0,1248.2419999999693
216,0.0,15.0,7.0,1552.5939999999537
236,0.0,15.0,7.0,1664.237000000081
254,0.0,15.0,7.0,990.1919999999808
266,0.0,15.0,7.0,1297.3480000000563
