,count,mean,std,min,25%,50%,75%,max
Graph,125.0,1056.401541330646,190.89244294807608,705.0000000000006,920.6201666666457,1037.0,1127.1666666666813,1689.2108333298577
Number,125.0,1724.6608919996875,291.3217906152985,1171.815166666706,1551.5000000000048,1686.4031666753508,1877.2749999999999,2879.6441666666556
Large,125.0,1294.3420079983598,212.553665713439,868.6496666666475,1150.8333333333333,1279.2620000001673,1433.2824999942532,1888.3343333333323
Small,125.0,1486.720425331974,246.25239855379516,1043.311166666681,1307.8333333333237,1436.0000000000048,1613.0000000000098,2120.508166666681
3,125.0,1083.5229419983675,161.06513629724802,690.295249999981,992.5,1074.399999993946,1180.8432500000054,1697.2500000000073
5,125.0,1413.999721998821,259.26351447040884,889.600500000015,1222.0952500000203,1374.5595000203684,1561.619000023582,2144.2850000367143
7,125.0,1674.0709859983115,351.79947816185614,1009.2462499999529,1389.25,1612.2865000012969,1892.874750001385,2823.761250000025
